Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.123,0.0,0.132,0.0,0.0
0.135,0.0,0.136,0.0,0.0
0.146,0.0,0.132,0.0,0.0
0.157,0.0,0.132,0.0,0.0
0.169,0.0,0.136,0.0,0.0
0.18,0.0,0.136,0.0,0.0
0.192,0.0,5.076,0.0,0.0
0.204,0.0,5.076,0.0,0.0
0.264,0.0,5.076,0.0,0.0
0.276,0.0,5.076,0.012,0.061
0.287,0.0,5.08,0.011,0.056
0.299,0.0,5.076,0.0,0.0
0.31,0.0,5.076,0.01,0.051
0.321,0.0,5.076,0.0,0.0
0.333,0.0,5.072,0.01,0.051
0.345,0.0,5.076,0.01,0.051
0.356,0.0,5.076,0.059,0.299
0.367,0.0,5.068,0.207,1.049
0.379,0.0,5.076,0.0,0.0
0.389,0.0,5.076,0.0,0.0
0.4,0.0,5.076,0.0,0.0
0.41,0.0,5.076,0.0,0.0
0.421,0.0,5.08,0.0,0.0
0.431,0.0,5.076,0.0,0.0
0.527,0.0,5.076,0.0,0.0
0.539,0.0,5.076,0.01,0.051
0.55,0.0,5.076,0.011,0.056
0.562,0.0,5.076,0.01,0.051
0.573,0.0,5.076,0.011,0.056
0.585,0.0,5.076,0.0,0.0
0.596,0.0,5.076,0.01,0.051
0.607,0.0,5.072,0.029,0.147
0.619,0.0,15.172,0.027,0.41
0.63,0.0,15.172,0.028,0.425
0.703,0.0,15.156,0.529,8.018
0.714,0.0,15.172,0.027,0.41
0.726,0.0,15.168,0.027,0.41
0.738,0.0,15.164,0.225,3.412
0.749,0.0,15.16,0.42,6.367
0.761,0.0,15.156,0.529,8.018
0.773,0.0,15.156,0.638,9.67
0.785,0.0,15.152,0.749,11.349
0.796,0.0,15.148,0.845,12.8
0.808,0.0,15.148,0.944,14.3
0.82,0.0,15.148,0.91,13.785
0.832,0.0,15.148,0.917,13.891
0.844,0.0,15.148,0.992,15.027
0.856,0.0,15.144,0.911,13.796
0.867,0.0,15.148,0.942,14.269
0.879,0.0,15.144,0.961,14.553
0.891,0.0,15.148,0.894,13.542
0.908,0.0,15.148,0.905,13.709
0.92,0.0,15.148,0.896,13.573
0.932,0.0,15.148,0.897,13.588
0.943,0.0,15.144,0.959,14.523
0.955,0.0,15.144,0.907,13.736
0.967,0.0,15.148,0.937,14.194
0.98,0.0,15.148,0.948,14.36
0.992,0.0,15.148,0.911,13.8
1.004,0.0,15.148,0.9,13.633
1.016,0.0,15.148,0.944,14.3
1.028,0.0,15.144,0.928,14.054
1.04,0.0,15.144,0.911,13.796
1.051,0.0,15.144,0.939,14.22
1.062,0.0,15.148,0.945,14.315
1.074,0.0,15.144,0.909,13.766
1.085,0.0,15.144,0.958,14.508
1.097,0.0,15.176,0.028,0.425
1.109,0.0,15.172,0.029,0.44
1.121,0.0,15.164,0.227,3.442
1.132,0.0,15.16,0.422,6.398
1.143,0.0,15.16,0.529,8.02
1.155,0.0,15.156,0.641,9.715
1.167,0.0,15.152,0.745,11.288
1.179,0.0,15.144,0.849,12.857
1.19,0.0,15.148,0.939,14.224
1.201,0.0,15.148,0.939,14.224
1.211,0.0,15.148,0.957,14.497
1.222,0.0,15.148,0.908,13.754
1.233,0.0,15.144,0.948,14.357
1.244,0.0,15.144,0.992,15.023
1.255,0.0,15.144,0.913,13.826
1.266,0.0,15.144,0.911,13.796
1.276,0.0,15.144,0.959,14.523
1.288,0.0,15.148,0.923,13.982
1.3,0.0,15.148,0.959,14.527
1.312,0.0,15.148,0.954,14.451
1.324,0.0,15.148,0.906,13.724
1.336,0.0,15.148,0.905,13.709
1.347,0.0,15.144,0.951,14.402
1.358,0.0,15.148,0.914,13.845
1.37,0.0,15.144,0.922,13.963
1.382,0.0,15.144,0.951,14.402
1.392,0.0,15.148,0.912,13.815
1.403,0.0,15.148,0.907,13.739
1.413,0.0,15.148,0.969,14.678
1.424,0.0,15.144,0.909,13.766
1.435,0.0,15.144,0.907,13.736
1.446,0.0,15.144,0.994,15.053
1.457,0.0,15.148,0.911,13.8
1.468,148.0,15.148,0.91,13.785
1.479,143.0,15.144,0.992,15.023
1.489,138.0,15.148,0.906,13.724
1.5,133.0,15.148,0.931,14.103
1.514,127.0,15.148,0.949,14.375
1.525,122.0,15.144,0.901,13.645
1.536,116.0,15.144,0.905,13.705
1.546,113.0,15.144,0.95,14.387
1.557,110.0,15.148,0.903,13.679
1.567,106.0,15.148,0.912,13.815
1.578,103.0,15.144,1.033,15.644
1.589,100.0,15.148,0.905,13.709
1.6,96.0,15.148,0.956,14.481
1.61,92.0,15.148,0.933,14.133
1.621,89.0,15.144,0.904,13.69
1.631,85.0,15.148,0.903,13.679
1.642,81.0,15.148,0.954,14.451
