Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.088,0.0,0.1,0.0,0.0
0.096,0.0,0.096,0.0,0.0
0.104,0.0,0.096,0.0,0.0
0.111,0.0,0.096,0.0,0.0
0.12,0.0,0.096,0.0,0.0
0.128,0.0,0.096,0.0,0.0
0.137,0.0,0.1,0.0,0.0
0.145,0.0,0.096,0.0,0.0
0.152,0.0,0.1,0.0,0.0
0.16,0.0,0.096,0.0,0.0
0.168,0.0,0.096,0.0,0.0
0.176,0.0,0.1,0.0,0.0
0.184,0.0,0.1,0.0,0.0
0.191,0.0,0.1,0.0,0.0
0.2,0.0,0.1,0.0,0.0
0.208,0.0,0.096,0.0,0.0
0.215,0.0,5.076,0.0,0.0
0.223,0.0,5.076,0.0,0.0
0.232,0.0,5.072,0.0,0.0
0.239,0.0,5.076,0.0,0.0
0.247,0.0,5.076,0.0,0.0
0.255,0.0,5.072,0.0,0.0
0.263,0.0,5.072,0.0,0.0
0.309,0.0,5.072,0.012,0.061
0.316,0.0,5.072,0.014,0.071
0.325,0.0,5.076,0.0,0.0
0.333,0.0,5.072,0.01,0.051
0.341,0.0,5.068,0.01,0.051
0.348,0.0,5.072,0.0,0.0
0.357,0.0,5.072,0.01,0.051
0.365,0.0,5.076,0.01,0.051
0.373,0.0,5.072,0.01,0.051
0.381,0.0,5.076,0.0,0.0
0.389,0.0,5.072,0.0,0.0
0.398,0.0,5.076,0.011,0.056
0.406,0.0,5.072,0.01,0.051
0.413,0.0,5.072,0.109,0.553
0.422,0.0,5.076,0.01,0.051
0.469,0.0,5.076,0.0,0.0
0.525,0.0,5.072,0.0,0.0
0.533,0.0,5.08,0.011,0.056
0.54,0.0,5.076,0.012,0.061
0.549,0.0,5.076,0.01,0.051
0.559,0.0,5.072,0.0,0.0
0.568,0.0,5.076,0.0,0.0
0.578,0.0,5.072,0.01,0.051
0.589,0.0,5.076,0.0,0.0
0.599,0.0,5.076,0.01,0.051
0.609,0.0,5.076,0.011,0.056
0.619,0.0,5.072,0.0,0.0
0.629,0.0,5.076,0.0,0.0
0.639,0.0,5.076,0.011,0.056
0.65,0.0,5.076,0.01,0.051
0.661,0.0,5.076,0.0,0.0
0.671,0.0,5.072,0.0,0.0
0.683,0.0,14.124,0.029,0.41
0.694,0.0,15.172,0.028,0.425
0.763,0.0,15.16,0.419,6.352
0.773,0.0,15.168,0.028,0.425
0.784,0.0,15.168,0.028,0.425
0.795,0.0,15.164,0.227,3.442
0.807,0.0,15.16,0.42,6.367
0.818,0.0,15.156,0.529,8.018
0.829,0.0,15.156,0.637,9.654
0.84,0.0,15.152,0.743,11.258
0.852,0.0,15.148,0.839,12.709
0.862,0.0,15.144,0.918,13.902
0.872,0.0,15.144,0.945,14.311
0.883,0.0,15.148,0.912,13.815
0.892,0.0,15.144,0.912,13.811
0.902,0.0,15.144,0.908,13.751
0.913,0.0,15.14,0.892,13.505
0.923,0.0,15.144,0.923,13.978
0.932,0.0,15.144,0.906,13.72
0.943,0.0,15.14,0.927,14.035
0.953,0.0,15.144,0.939,14.22
0.964,0.0,15.144,0.897,13.584
0.975,0.0,15.14,0.914,13.838
0.986,0.0,15.148,0.909,13.77
0.997,0.0,15.144,0.895,13.554
1.008,0.0,15.148,0.909,13.77
1.019,0.0,15.14,0.931,14.095
1.03,0.0,15.144,0.88,13.327
1.042,0.0,15.148,0.911,13.8
1.052,0.0,15.144,0.909,13.766
1.063,0.0,15.144,0.887,13.433
1.075,0.0,15.144,0.911,13.796
1.085,0.0,15.144,0.909,13.766
1.096,0.0,15.144,0.911,13.796
1.107,0.0,15.144,0.911,13.796
1.118,0.0,15.14,0.927,14.035
1.129,0.0,15.148,0.939,14.224
1.14,0.0,15.164,0.027,0.409
1.151,0.0,15.168,0.028,0.425
1.162,0.0,15.16,0.323,4.897
1.174,0.0,15.16,0.419,6.352
1.184,0.0,15.156,0.528,8.002
1.195,0.0,15.148,0.648,9.816
1.207,0.0,15.148,0.743,11.255
1.218,0.0,15.144,0.84,12.721
1.228,189.0,15.144,0.928,14.054
1.24,188.0,15.14,0.91,13.777
1.25,186.0,15.144,0.918,13.902
1.261,184.0,15.14,0.909,13.762
1.273,182.0,15.144,0.951,14.402
1.283,180.0,15.14,0.941,14.247
1.294,177.0,15.144,0.911,13.796
1.306,175.0,15.14,0.912,13.808
1.316,172.0,15.144,0.908,13.751
1.327,169.0,15.14,0.932,14.11
1.339,166.0,15.14,0.915,13.853
1.35,163.0,15.14,0.914,13.838
1.36,159.0,15.144,0.907,13.736
1.372,155.0,15.148,0.914,13.845
1.383,152.0,15.14,0.967,14.64
1.393,148.0,15.144,0.957,14.493
1.405,143.0,15.14,0.961,14.55
1.416,142.0,15.144,0.967,14.644
1.426,141.0,15.14,0.965,14.61
1.438,139.0,15.144,0.947,14.341
1.449,137.0,15.14,0.921,13.944
1.459,135.0,15.144,0.927,14.038
1.471,133.0,15.144,0.94,14.235
1.482,131.0,15.144,0.916,13.872
