Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.094,0.0,0.116,0.0,0.0
0.106,0.0,0.116,0.0,0.0
0.118,0.0,0.116,0.0,0.0
0.13,0.0,0.12,0.0,0.0
0.165,0.0,0.116,0.0,0.0
0.176,0.0,0.116,0.0,0.0
0.234,0.0,5.076,0.01,0.051
0.245,0.0,5.072,0.011,0.056
0.256,0.0,5.076,0.0,0.0
0.267,0.0,5.076,0.01,0.051
0.278,0.0,5.08,0.011,0.056
0.29,0.0,5.076,0.0,0.0
0.301,0.0,5.076,0.011,0.056
0.313,0.0,5.076,0.0,0.0
0.326,0.0,5.076,0.01,0.051
0.338,0.0,5.076,0.011,0.056
0.35,0.0,5.076,0.01,0.051
0.363,0.0,5.076,0.01,0.051
0.375,0.0,5.072,0.0,0.0
0.388,0.0,5.076,0.0,0.0
0.4,0.0,5.072,0.01,0.051
0.413,0.0,5.076,0.011,0.056
0.425,0.0,5.072,0.011,0.056
0.437,0.0,5.072,0.01,0.051
0.449,0.0,5.076,0.0,0.0
0.461,0.0,5.076,0.0,0.0
0.473,0.0,5.076,0.011,0.056
0.485,0.0,5.076,0.011,0.056
0.496,0.0,5.072,0.01,0.051
0.507,0.0,5.072,0.0,0.0
0.518,0.0,5.076,0.011,0.056
0.529,0.0,5.076,0.01,0.051
0.54,0.0,5.076,0.011,0.056
0.55,0.0,5.076,0.0,0.0
0.561,0.0,5.076,0.01,0.051
0.572,0.0,5.076,0.011,0.056
0.583,0.0,5.076,0.0,0.0
0.593,0.0,5.076,0.01,0.051
0.604,0.0,5.076,0.011,0.056
0.615,0.0,5.072,0.01,0.051
0.626,0.0,5.076,0.01,0.051
0.637,0.0,5.076,0.011,0.056
0.647,0.0,5.076,0.0,0.0
0.658,0.0,5.076,0.01,0.051
0.669,0.0,5.076,0.011,0.056
0.681,0.0,5.076,0.012,0.061
0.693,0.0,5.076,0.01,0.051
0.704,0.0,5.076,0.01,0.051
0.715,0.0,5.072,0.0,0.0
0.726,0.0,5.076,0.01,0.051
0.737,0.0,5.076,0.01,0.051
0.747,0.0,5.076,0.01,0.051
0.758,0.0,5.076,0.01,0.051
0.77,0.0,5.076,0.01,0.051
0.781,0.0,5.076,0.012,0.061
0.792,0.0,5.076,0.011,0.056
0.802,0.0,5.08,0.011,0.056
0.811,0.0,5.08,0.0,0.0
0.819,0.0,5.072,0.01,0.051
0.828,0.0,5.072,0.01,0.051
0.836,0.0,5.076,0.01,0.051
0.844,0.0,5.072,0.014,0.071
0.853,0.0,5.076,0.014,0.071
0.861,0.0,5.076,0.012,0.061
0.869,0.0,5.072,0.012,0.061
0.878,0.0,5.076,0.013,0.066
0.886,0.0,5.08,0.0,0.0
0.895,0.0,5.076,0.01,0.051
0.903,0.0,5.076,0.01,0.051
0.911,0.0,5.072,0.011,0.056
0.919,0.0,5.076,0.01,0.051
0.927,0.0,5.072,0.011,0.056
0.936,0.0,5.076,0.0,0.0
0.944,0.0,5.076,0.01,0.051
0.952,0.0,5.072,0.01,0.051
0.96,0.0,5.076,0.01,0.051
0.969,0.0,5.076,0.0,0.0
0.977,0.0,5.072,0.01,0.051
0.986,0.0,5.068,0.101,0.512
0.994,0.0,5.072,0.102,0.517
1.003,0.0,5.072,0.101,0.512
1.011,0.0,5.068,0.102,0.517
1.02,0.0,5.072,0.102,0.517
1.028,0.0,5.072,0.102,0.517
1.037,0.0,5.072,0.103,0.522
1.045,0.0,5.068,0.102,0.517
1.054,0.0,5.072,0.102,0.517
1.063,0.0,5.072,0.103,0.522
1.071,0.0,5.072,0.103,0.522
1.08,0.0,5.072,0.103,0.522
1.088,0.0,5.072,0.103,0.522
1.097,0.0,5.072,0.101,0.512
1.106,0.0,5.068,0.102,0.517
1.114,0.0,5.068,0.101,0.512
1.123,0.0,5.072,0.101,0.512
1.131,0.0,5.076,0.102,0.518
1.139,0.0,5.072,0.056,0.284
1.148,0.0,5.072,0.074,0.375
1.156,0.0,5.072,0.079,0.401
1.165,0.0,5.072,0.102,0.517
1.174,16.0,5.072,0.103,0.522
1.182,14.0,5.072,0.102,0.517
1.19,11.0,5.072,0.104,0.527
1.198,8.0,5.072,0.102,0.517
1.207,5.0,5.072,0.103,0.522
1.215,2.0,5.072,0.103,0.522
1.224,0.0,5.068,0.104,0.527
1.232,0.0,5.072,0.104,0.527
1.241,0.0,5.068,0.104,0.527
1.249,0.0,5.076,0.104,0.528
1.258,0.0,5.072,0.102,0.517
1.266,0.0,5.072,0.103,0.522
1.275,0.0,5.068,0.104,0.527
1.284,0.0,5.072,0.104,0.527
1.292,0.0,5.072,0.104,0.527
1.3,0.0,5.072,0.104,0.527
1.308,0.0,5.072,0.103,0.522
1.316,0.0,5.068,0.103,0.522
1.325,0.0,5.072,0.102,0.517
1.333,0.0,5.072,0.103,0.522
1.342,0.0,5.072,0.102,0.517
1.35,0.0,5.072,0.103,0.522
1.358,0.0,5.072,0.102,0.517
1.366,0.0,5.072,0.102,0.517
1.375,0.0,5.072,0.104,0.527
1.383,0.0,5.072,0.102,0.517
1.391,0.0,5.072,0.104,0.527
1.399,0.0,5.072,0.104,0.527
1.407,0.0,5.072,0.103,0.522
1.416,0.0,5.072,0.103,0.522
1.424,0.0,5.072,0.103,0.522
1.432,0.0,5.072,0.103,0.522
1.44,0.0,5.072,0.104,0.527
1.449,0.0,5.068,0.103,0.522
1.457,0.0,5.072,0.102,0.517
1.465,0.0,5.072,0.104,0.527
1.473,0.0,5.072,0.104,0.527
1.482,0.0,5.072,0.105,0.533
1.49,0.0,5.072,0.104,0.527
1.498,0.0,5.072,0.103,0.522
1.507,0.0,5.068,0.103,0.522
1.518,0.0,5.072,0.102,0.517
1.528,0.0,5.072,0.102,0.517
1.539,0.0,5.072,0.103,0.522
1.55,0.0,5.072,0.102,0.517
1.562,0.0,5.072,0.101,0.512
1.573,0.0,5.068,0.102,0.517
1.584,0.0,5.072,0.104,0.527
1.595,0.0,5.072,0.101,0.512
1.607,0.0,5.072,0.102,0.517
1.618,0.0,5.076,0.103,0.523
1.629,0.0,5.072,0.102,0.517
1.64,0.0,5.072,0.103,0.522
1.651,0.0,5.072,0.057,0.289
