Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.198,0.0,5.076,0.0,0.0
0.207,0.0,5.072,0.0,0.0
0.217,0.0,5.076,0.0,0.0
0.228,0.0,5.076,0.0,0.0
0.28,0.0,5.076,0.012,0.061
0.29,0.0,5.076,0.01,0.051
0.301,0.0,5.076,0.011,0.056
0.311,0.0,5.076,0.011,0.056
0.322,0.0,5.076,0.0,0.0
0.332,0.0,5.076,0.0,0.0
0.343,0.0,5.076,0.01,0.051
0.354,0.0,5.072,0.011,0.056
0.364,0.0,5.076,0.011,0.056
0.375,0.0,5.072,0.01,0.051
0.386,0.0,5.072,0.01,0.051
0.397,0.0,5.072,0.0,0.0
0.407,0.0,5.076,0.0,0.0
0.515,0.0,5.076,0.0,0.0
0.527,0.0,5.072,0.0,0.0
0.538,0.0,5.072,0.01,0.051
0.55,0.0,5.072,0.0,0.0
0.562,0.0,5.076,0.01,0.051
0.573,0.0,5.076,0.01,0.051
0.585,0.0,5.076,0.0,0.0
0.597,0.0,15.172,0.028,0.425
0.607,0.0,15.168,0.026,0.394
0.618,0.0,15.168,0.027,0.41
0.629,0.0,15.168,0.028,0.425
0.639,0.0,15.168,0.028,0.425
0.649,0.0,15.168,0.028,0.425
0.661,0.0,15.164,0.226,3.427
0.73,0.0,15.144,0.935,14.16
0.74,0.0,15.172,0.028,0.425
0.75,0.0,15.168,0.028,0.425
0.761,0.0,15.164,0.226,3.427
0.771,0.0,15.156,0.42,6.366
0.782,0.0,15.156,0.53,8.033
0.793,0.0,15.152,0.574,8.697
0.804,0.0,15.152,0.74,11.212
0.814,0.0,15.148,0.743,11.255
0.825,0.0,15.144,0.84,12.721
0.836,0.0,15.144,0.975,14.765
0.846,0.0,15.14,0.944,14.292
0.857,0.0,15.144,0.925,14.008
0.868,0.0,15.144,0.925,14.008
0.878,0.0,15.144,0.969,14.675
0.889,0.0,15.144,0.929,14.069
0.9,0.0,15.144,0.925,14.008
0.91,0.0,15.14,0.954,14.444
0.921,0.0,15.144,0.927,14.038
0.932,0.0,15.144,0.94,14.235
0.942,0.0,15.144,0.943,14.281
0.953,0.0,15.144,0.984,14.902
0.964,0.0,15.14,0.936,14.171
0.974,0.0,15.144,1.011,15.311
0.985,0.0,15.144,0.987,14.947
0.996,0.0,15.14,0.99,14.989
1.006,0.0,15.14,1.055,15.973
1.017,0.0,15.14,1.011,15.307
1.028,0.0,15.14,0.983,14.883
1.038,0.0,15.144,0.95,14.387
1.049,0.0,15.144,0.943,14.281
1.06,0.0,15.144,1.001,15.159
1.07,0.0,15.144,0.93,14.084
1.081,0.0,15.144,0.935,14.16
1.092,0.0,15.172,0.027,0.41
1.102,0.0,15.168,0.026,0.394
1.113,0.0,15.164,0.227,3.442
1.124,0.0,15.156,0.42,6.366
1.134,0.0,15.156,0.526,7.972
1.144,0.0,15.152,0.646,9.788
1.155,0.0,15.152,0.743,11.258
1.166,0.0,15.152,0.755,11.44
1.176,0.0,15.148,0.835,12.649
1.187,0.0,15.148,0.931,14.103
1.198,0.0,15.144,0.92,13.932
1.208,0.0,15.144,0.924,13.993
1.219,0.0,15.14,0.942,14.262
1.23,0.0,15.144,0.985,14.917
1.24,0.0,15.136,1.061,16.059
1.252,0.0,15.144,0.961,14.553
1.262,0.0,15.14,0.941,14.247
1.272,0.0,15.144,0.929,14.069
1.283,0.0,15.144,0.922,13.963
1.294,0.0,15.144,0.929,14.069
1.304,0.0,15.144,0.923,13.978
1.315,0.0,15.144,0.918,13.902
1.326,0.0,15.144,0.92,13.932
1.336,0.0,15.14,0.906,13.717
1.347,0.0,15.144,0.93,14.084
1.358,0.0,15.144,0.928,14.054
1.368,0.0,15.144,0.908,13.751
1.379,0.0,15.14,0.914,13.838
1.39,146.0,15.144,0.907,13.736
1.4,141.0,15.144,0.911,13.796
1.411,135.0,15.144,0.917,13.887
1.423,130.0,15.144,0.913,13.826
1.433,124.0,15.14,0.918,13.899
1.452,119.0,15.14,0.906,13.717
1.463,113.0,15.14,0.915,13.853
1.48,110.0,15.144,0.912,13.811
1.491,106.0,15.14,0.945,14.307
1.501,103.0,15.144,0.968,14.659
1.513,100.0,15.14,0.946,14.322
1.524,96.0,15.144,0.949,14.372
1.534,92.0,15.144,0.904,13.69
1.545,89.0,15.144,0.913,13.826
1.557,85.0,15.14,0.907,13.732
1.567,81.0,15.144,0.89,13.478
1.578,76.0,15.144,0.91,13.781
1.589,72.0,15.14,0.891,13.49
1.6,68.0,15.148,0.89,13.482
1.611,63.0,15.14,0.899,13.611
1.622,59.0,15.144,0.892,13.508
1.633,54.0,15.14,0.89,13.475
1.644,49.0,15.144,0.893,13.524
1.656,44.0,15.144,0.905,13.705
1.666,39.0,15.144,0.889,13.463
1.677,33.0,15.144,0.89,13.478
1.689,28.0,15.144,0.893,13.524
1.7,23.0,15.144,0.892,13.508
1.711,17.0,15.144,0.897,13.584
1.722,11.0,15.14,0.894,13.535
1.733,5.0,15.144,0.896,13.569
