Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.128,0.0,0.0
0.026,0.0,0.128,0.0,0.0
0.038,0.0,0.128,0.0,0.0
0.051,0.0,0.128,0.0,0.0
0.065,0.0,0.128,0.0,0.0
0.08,0.0,0.128,0.0,0.0
0.094,0.0,0.132,0.0,0.0
0.108,0.0,0.128,0.0,0.0
0.121,0.0,0.128,0.0,0.0
0.133,0.0,0.128,0.0,0.0
0.144,0.0,0.132,0.0,0.0
0.154,0.0,0.128,0.0,0.0
0.164,0.0,0.132,0.0,0.0
0.174,0.0,0.128,0.0,0.0
0.185,0.0,0.128,0.0,0.0
0.194,0.0,0.132,0.0,0.0
0.205,0.0,0.128,0.0,0.0
0.215,0.0,0.128,0.0,0.0
0.225,0.0,0.132,0.0,0.0
0.236,0.0,0.128,0.0,0.0
0.248,0.0,0.132,0.0,0.0
0.258,0.0,0.128,0.0,0.0
0.268,0.0,0.128,0.0,0.0
0.28,0.0,0.128,0.0,0.0
0.29,0.0,0.128,0.0,0.0
0.301,0.0,0.128,0.0,0.0
0.312,0.0,0.128,0.0,0.0
0.323,0.0,0.132,0.0,0.0
0.334,0.0,0.128,0.0,0.0
0.346,0.0,0.128,0.0,0.0
0.356,0.0,0.128,0.0,0.0
0.367,0.0,0.132,0.0,0.0
0.378,0.0,0.128,0.0,0.0
0.39,0.0,0.128,0.0,0.0
0.401,0.0,0.128,0.0,0.0
0.412,0.0,0.128,0.0,0.0
0.423,0.0,0.128,0.0,0.0
0.434,0.0,0.132,0.0,0.0
0.445,0.0,0.132,0.0,0.0
0.457,0.0,0.128,0.0,0.0
0.467,0.0,0.128,0.0,0.0
0.478,0.0,0.128,0.0,0.0
0.49,0.0,0.128,0.0,0.0
0.501,0.0,0.128,0.0,0.0
0.512,0.0,0.128,0.0,0.0
0.524,0.0,0.132,0.0,0.0
0.536,0.0,0.128,0.0,0.0
0.594,0.0,5.076,0.01,0.051
0.605,0.0,5.076,0.011,0.056
0.616,0.0,5.076,0.0,0.0
0.628,0.0,5.072,0.01,0.051
0.639,0.0,5.076,0.01,0.051
0.649,0.0,5.076,0.0,0.0
0.66,0.0,5.076,0.01,0.051
0.67,0.0,5.072,0.01,0.051
0.68,0.0,5.076,0.01,0.051
0.691,0.0,5.08,0.01,0.051
0.701,0.0,5.076,0.0,0.0
0.711,0.0,5.076,0.01,0.051
0.721,0.0,5.076,0.0,0.0
0.732,0.0,5.076,0.01,0.051
0.742,0.0,5.076,0.01,0.051
0.752,0.0,5.076,0.01,0.051
0.763,0.0,5.076,0.0,0.0
0.773,0.0,5.076,0.01,0.051
0.783,0.0,5.076,0.01,0.051
0.793,0.0,5.076,0.0,0.0
0.804,0.0,5.076,0.01,0.051
0.814,0.0,5.072,0.0,0.0
0.824,0.0,5.076,0.01,0.051
0.835,0.0,5.076,0.01,0.051
0.843,0.0,5.076,0.01,0.051
0.851,0.0,5.072,0.0,0.0
0.86,0.0,5.076,0.011,0.056
0.869,0.0,5.072,0.0,0.0
0.877,0.0,5.076,0.01,0.051
0.885,0.0,5.076,0.01,0.051
0.893,0.0,5.076,0.0,0.0
0.903,0.0,5.072,0.01,0.051
0.911,0.0,5.076,0.0,0.0
0.919,0.0,5.072,0.011,0.056
0.927,0.0,5.072,0.0,0.0
0.937,0.0,5.076,0.01,0.051
0.945,0.0,5.076,0.012,0.061
0.953,0.0,5.076,0.0,0.0
0.962,0.0,5.072,0.0,0.0
0.97,0.0,5.076,0.0,0.0
0.979,0.0,5.072,0.01,0.051
0.988,0.0,5.076,0.0,0.0
0.996,0.0,5.076,0.01,0.051
1.005,0.0,5.08,0.01,0.051
1.014,0.0,5.076,0.011,0.056
1.022,0.0,5.076,0.0,0.0
1.031,0.0,5.076,0.0,0.0
1.039,0.0,5.076,0.01,0.051
1.048,0.0,5.076,0.0,0.0
1.057,0.0,5.076,0.01,0.051
1.065,0.0,5.076,0.0,0.0
1.073,0.0,5.076,0.01,0.051
1.083,0.0,5.076,0.01,0.051
1.091,73.0,5.072,0.0,0.0
1.099,73.0,5.076,0.0,0.0
1.108,73.0,5.076,0.011,0.056
1.117,73.0,5.076,0.01,0.051
1.126,72.0,5.076,0.01,0.051
1.134,72.0,5.076,0.011,0.056
1.142,71.0,5.072,0.0,0.0
1.152,71.0,5.076,0.01,0.051
1.16,70.0,5.076,0.01,0.051
1.168,69.0,5.076,0.01,0.051
1.177,69.0,5.076,0.01,0.051
1.186,68.0,5.072,0.01,0.051
1.195,67.0,5.076,0.011,0.056
1.203,66.0,5.076,0.01,0.051
1.211,65.0,5.076,0.0,0.0
1.221,64.0,5.08,0.01,0.051
1.229,63.0,5.076,0.01,0.051
1.237,62.0,5.076,0.01,0.051
1.246,61.0,5.076,0.0,0.0
1.255,59.0,5.076,0.0,0.0
1.264,58.0,5.072,0.01,0.051
1.272,57.0,5.072,0.01,0.051
1.28,55.0,5.072,0.0,0.0
1.29,54.0,5.076,0.0,0.0
1.298,52.0,5.08,0.01,0.051
1.307,50.0,5.076,0.0,0.0
1.315,49.0,5.072,0.01,0.051
1.324,47.0,5.076,0.011,0.056
1.333,45.0,5.076,0.0,0.0
1.341,43.0,5.076,0.01,0.051
1.35,41.0,5.072,0.01,0.051
1.359,39.0,5.076,0.0,0.0
1.368,37.0,5.076,0.011,0.056
1.376,35.0,5.072,0.065,0.33
1.384,33.0,5.076,0.066,0.335
1.393,31.0,5.076,0.066,0.335
1.402,29.0,5.076,0.066,0.335
1.41,26.0,5.072,0.091,0.462
1.418,24.0,5.076,0.091,0.462
1.473,21.0,5.072,0.137,0.695
1.481,19.0,5.072,0.138,0.7
1.49,16.0,5.072,0.139,0.705
1.499,14.0,5.072,0.138,0.7
1.508,11.0,5.068,0.161,0.816
1.516,8.0,5.072,0.162,0.822
1.524,5.0,5.072,0.161,0.817
1.533,2.0,5.072,0.163,0.827
1.544,0.0,5.068,0.185,0.938
1.555,0.0,5.072,0.183,0.928
1.567,0.0,5.068,0.186,0.943
1.58,0.0,5.068,0.207,1.049
1.591,0.0,5.068,0.208,1.054
1.602,0.0,5.068,0.211,1.069
1.615,0.0,5.068,0.232,1.176
1.626,0.0,5.068,0.231,1.171
1.637,0.0,5.072,0.24,1.217
1.65,0.0,5.068,0.254,1.287
1.661,0.0,5.068,0.254,1.287
1.672,0.0,5.068,0.277,1.404
1.684,0.0,5.068,0.278,1.409
1.696,0.0,5.064,0.278,1.408
1.708,0.0,5.064,0.301,1.524
1.72,0.0,5.064,0.301,1.524
1.732,0.0,5.068,0.301,1.525
1.742,0.0,5.064,0.324,1.641
1.754,0.0,5.068,0.325,1.647
1.764,0.0,5.064,0.326,1.651
1.774,0.0,5.064,0.349,1.767
1.785,0.0,5.068,0.348,1.764
1.796,0.0,5.064,0.35,1.772
1.806,0.0,5.064,0.372,1.884
1.817,0.0,5.064,0.372,1.884
1.828,0.0,5.064,0.371,1.879
1.839,0.0,5.064,0.387,1.96
1.85,0.0,5.064,0.396,2.005
1.862,0.0,5.064,0.394,1.995
1.874,0.0,5.06,0.418,2.115
1.885,0.0,5.06,0.418,2.115
1.896,0.0,5.06,0.369,1.867
1.909,0.0,5.064,0.334,1.691
1.919,0.0,5.06,0.419,2.12
1.931,0.0,5.064,0.417,2.112
1.943,0.0,5.064,0.387,1.96
1.954,0.0,5.064,0.418,2.117
1.966,0.0,5.06,0.42,2.125
1.978,0.0,5.06,0.417,2.11
1.989,0.0,5.064,0.37,1.874
2.0,0.0,5.06,0.419,2.12
2.012,0.0,5.064,0.418,2.117
2.023,0.0,5.06,0.418,2.115
2.034,0.0,5.064,0.419,2.122
2.047,0.0,5.06,0.443,2.242
2.058,0.0,5.06,0.44,2.226
2.069,0.0,5.064,0.44,2.228
2.081,0.0,5.06,0.465,2.353
2.093,0.0,5.06,0.464,2.348
2.104,0.0,5.056,0.464,2.346
2.116,0.0,5.06,0.49,2.479
2.128,0.0,5.06,0.488,2.469
2.139,0.0,5.06,0.487,2.464
2.151,0.0,5.06,0.511,2.586
2.163,0.0,5.06,0.512,2.591
2.174,0.0,5.056,0.534,2.7
2.185,0.0,5.06,0.537,2.717
2.198,0.0,5.06,0.537,2.717
2.209,0.0,5.056,0.558,2.821
2.22,0.0,5.06,0.558,2.823
2.232,0.0,5.056,0.558,2.821
2.243,0.0,5.056,0.581,2.938
2.253,0.0,5.056,0.582,2.943
2.265,0.0,5.056,0.581,2.938
2.275,0.0,5.056,0.605,3.059
2.285,0.0,5.056,0.605,3.059
2.296,0.0,5.056,0.606,3.064
2.308,0.0,5.056,0.629,3.18
2.318,0.0,5.056,0.629,3.18
2.328,0.0,5.056,0.627,3.17
2.339,0.0,5.052,0.652,3.294
2.351,0.0,5.052,0.653,3.299
2.362,0.0,5.056,0.652,3.297
2.374,0.0,5.052,0.676,3.415
2.386,0.0,5.052,0.674,3.405
2.397,0.0,5.052,0.676,3.415
2.409,0.0,5.052,0.699,3.531
2.421,0.0,5.052,0.698,3.526
2.432,0.0,5.052,0.699,3.531
2.444,0.0,5.052,0.722,3.648
2.456,0.0,5.052,0.721,3.642
2.467,0.0,5.052,0.721,3.642
2.479,0.0,5.052,0.745,3.764
2.49,0.0,5.052,0.746,3.769
2.501,0.0,5.048,0.746,3.766
2.513,0.0,5.052,0.769,3.885
2.525,0.0,5.048,0.77,3.887
2.536,0.0,5.048,0.768,3.877
2.548,0.0,5.048,0.793,4.003
2.56,0.0,5.048,0.791,3.993
2.571,0.0,5.052,0.792,4.001
2.582,0.0,5.052,0.816,4.122
2.594,0.0,5.052,0.815,4.117
2.605,0.0,5.048,0.84,4.24
2.616,0.0,5.044,0.84,4.237
2.629,0.0,5.048,0.838,4.23
2.64,0.0,5.044,0.862,4.348
2.651,0.0,5.048,0.862,4.351
2.662,0.0,5.044,0.863,4.353
2.673,0.0,5.048,0.885,4.467
2.682,0.0,5.044,0.887,4.474
2.693,0.0,5.048,0.885,4.467
2.705,0.0,5.048,0.909,4.589
2.715,0.0,5.044,0.907,4.575
2.725,0.0,5.044,0.909,4.585
2.737,0.0,5.044,0.907,4.575
2.747,0.0,5.044,0.934,4.711
2.758,0.0,5.044,0.932,4.701
2.771,0.0,5.044,0.934,4.711
2.782,0.0,5.044,0.956,4.822
2.793,0.0,5.044,0.957,4.827
2.805,0.0,5.044,0.979,4.938
2.817,0.0,5.044,0.978,4.933
2.828,0.0,5.044,0.979,4.938
2.841,0.0,5.044,1.002,5.054
2.852,0.0,5.044,1.004,5.064
2.863,0.0,5.04,1.001,5.045
2.875,0.0,5.036,1.028,5.177
2.887,0.0,5.04,1.027,5.176
2.898,0.0,5.04,1.026,5.171
2.91,0.0,5.04,1.051,5.297
2.922,0.0,5.04,1.051,5.297
2.934,0.0,5.04,1.049,5.287
2.945,0.0,5.04,1.074,5.413
2.957,0.0,5.04,1.074,5.413
2.969,0.0,5.04,1.073,5.408
