Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.063,0.0,3.576,0.0,0.0
0.086,0.0,3.436,0.0,0.0
0.093,0.0,3.356,0.0,0.0
0.101,0.0,3.32,0.0,0.0
0.109,0.0,3.312,0.0,0.0
0.118,0.0,3.316,0.0,0.0
0.126,0.0,3.312,0.0,0.0
0.134,0.0,3.312,0.0,0.0
0.141,0.0,3.312,0.0,0.0
0.149,0.0,3.312,0.0,0.0
0.157,0.0,3.312,0.0,0.0
0.165,0.0,3.308,0.0,0.0
0.173,0.0,3.308,0.0,0.0
0.181,0.0,3.312,0.0,0.0
0.19,0.0,3.312,0.0,0.0
0.198,0.0,3.308,0.0,0.0
0.206,0.0,3.312,0.0,0.0
0.214,0.0,0.112,0.0,0.0
0.222,0.0,0.112,0.0,0.0
0.23,0.0,0.112,0.0,0.0
0.238,0.0,0.108,0.0,0.0
0.246,0.0,0.108,0.0,0.0
0.255,0.0,0.112,0.0,0.0
0.263,0.0,0.108,0.0,0.0
0.272,0.0,0.112,0.0,0.0
0.28,0.0,0.108,0.0,0.0
0.289,0.0,0.108,0.0,0.0
0.297,0.0,0.108,0.0,0.0
0.305,0.0,0.112,0.0,0.0
0.313,0.0,0.108,0.0,0.0
0.321,0.0,0.108,0.0,0.0
0.329,0.0,0.112,0.0,0.0
0.337,0.0,0.112,0.0,0.0
0.345,0.0,0.112,0.0,0.0
0.353,0.0,0.112,0.0,0.0
0.362,0.0,0.112,0.0,0.0
0.405,0.0,5.076,0.0,0.0
0.413,0.0,5.072,0.0,0.0
0.421,0.0,5.072,0.0,0.0
0.43,0.0,5.076,0.0,0.0
0.438,0.0,5.076,0.01,0.051
0.446,0.0,5.076,0.0,0.0
0.454,0.0,5.076,0.0,0.0
0.499,0.0,0.108,0.0,0.0
0.507,0.0,0.108,0.0,0.0
0.515,0.0,0.108,0.0,0.0
0.524,0.0,0.108,0.0,0.0
0.532,0.0,0.112,0.0,0.0
0.54,0.0,0.112,0.0,0.0
0.549,0.0,0.112,0.0,0.0
0.557,0.0,0.108,0.0,0.0
0.565,0.0,0.112,0.0,0.0
0.573,0.0,0.112,0.0,0.0
0.582,0.0,0.112,0.0,0.0
0.59,0.0,0.112,0.0,0.0
0.598,0.0,0.108,0.0,0.0
0.607,0.0,0.112,0.0,0.0
0.615,0.0,0.108,0.0,0.0
0.624,0.0,0.108,0.0,0.0
0.632,0.0,0.108,0.0,0.0
0.64,0.0,0.108,0.0,0.0
0.649,0.0,0.108,0.0,0.0
0.657,0.0,0.112,0.0,0.0
0.665,0.0,0.112,0.0,0.0
0.673,0.0,0.112,0.0,0.0
0.682,0.0,0.108,0.0,0.0
0.691,0.0,0.112,0.0,0.0
0.699,0.0,0.108,0.0,0.0
0.707,0.0,0.112,0.0,0.0
0.715,0.0,0.112,0.0,0.0
0.724,0.0,0.108,0.0,0.0
0.732,0.0,0.112,0.0,0.0
0.74,0.0,0.108,0.0,0.0
0.749,0.0,0.108,0.0,0.0
0.757,0.0,0.108,0.0,0.0
0.766,0.0,0.108,0.0,0.0
0.774,0.0,0.108,0.0,0.0
0.782,0.0,0.108,0.0,0.0
0.79,0.0,0.108,0.0,0.0
0.799,0.0,0.112,0.0,0.0
0.807,0.0,0.108,0.0,0.0
0.816,0.0,0.108,0.0,0.0
0.824,0.0,0.108,0.0,0.0
0.833,0.0,0.112,0.0,0.0
0.841,0.0,0.112,0.0,0.0
0.849,0.0,0.108,0.0,0.0
0.858,0.0,0.112,0.0,0.0
0.866,0.0,0.112,0.0,0.0
0.875,0.0,0.112,0.0,0.0
0.883,0.0,5.072,0.01,0.051
0.929,0.0,5.072,0.0,0.0
0.937,0.0,5.072,0.0,0.0
0.949,0.0,5.072,0.01,0.051
0.962,0.0,5.076,0.01,0.051
0.975,0.0,5.04,1.024,5.161
0.987,0.0,5.036,1.023,5.152
0.999,0.0,5.04,1.023,5.156
1.011,0.0,5.04,1.026,5.171
1.023,0.0,5.04,1.025,5.166
1.036,0.0,5.036,1.026,5.167
1.046,-2.0,5.072,0.017,0.086
1.057,0.0,5.072,0.017,0.086
1.067,3.0,5.076,0.018,0.091
1.078,6.0,5.072,0.018,0.091
1.088,10.0,5.072,0.016,0.081
1.099,13.0,5.076,0.017,0.086
1.109,16.0,9.1,0.033,0.3
1.12,21.0,9.104,0.032,0.291
1.19,27.0,9.104,0.031,0.282
1.201,32.0,9.1,0.032,0.291
1.214,37.0,9.104,0.031,0.282
1.225,42.0,9.104,0.03,0.273
1.236,47.0,9.1,0.03,0.273
1.248,52.0,9.104,0.031,0.282
1.26,57.0,9.104,0.031,0.282
1.272,62.0,9.104,0.031,0.282
1.285,67.0,9.1,0.035,0.318
1.298,72.0,9.076,0.982,8.913
1.311,74.0,9.076,0.983,8.922
1.324,77.0,9.072,0.983,8.918
1.337,79.0,9.072,0.979,8.881
1.35,82.0,9.076,0.959,8.704
1.362,84.0,9.076,0.962,8.731
1.374,86.0,9.076,0.962,8.731
1.385,88.0,9.08,0.959,8.708
1.396,90.0,9.072,0.962,8.727
1.409,92.0,9.076,0.962,8.731
1.42,94.0,9.076,0.962,8.731
1.431,96.0,9.076,0.958,8.695
1.442,97.0,9.076,0.962,8.731
1.453,99.0,9.076,0.94,8.531
1.464,100.0,9.072,0.937,8.5
1.475,101.0,9.076,0.939,8.522
1.487,102.0,9.076,0.938,8.513
1.498,103.0,9.076,0.937,8.504
1.509,104.0,9.08,0.939,8.526
1.52,105.0,9.076,0.941,8.541
1.531,108.0,9.076,0.939,8.522
1.542,112.0,9.076,0.917,8.323
1.554,116.0,9.08,0.916,8.317
1.565,119.0,9.076,0.916,8.314
1.576,123.0,9.076,0.918,8.332
1.587,126.0,9.076,0.916,8.314
1.598,130.0,9.076,0.919,8.341
1.61,130.0,9.076,0.916,8.314
1.621,130.0,9.076,0.918,8.332
1.632,130.0,9.08,0.915,8.308
1.643,130.0,9.076,0.895,8.123
1.654,130.0,9.08,0.898,8.154
1.666,130.0,9.076,0.896,8.132
1.677,130.0,9.08,0.893,8.108
1.688,129.0,9.076,0.895,8.123
1.699,129.0,9.076,0.895,8.123
1.711,128.0,9.08,0.895,8.127
1.722,127.0,9.076,0.893,8.105
1.733,126.0,9.08,0.873,7.927
1.745,125.0,9.08,0.872,7.918
1.756,124.0,9.08,0.872,7.918
1.768,123.0,9.08,0.872,7.918
1.781,122.0,9.08,0.873,7.927
1.792,121.0,9.08,0.873,7.927
1.803,119.0,9.08,0.873,7.927
1.814,117.0,9.076,0.873,7.923
1.826,116.0,9.076,0.872,7.914
1.837,114.0,9.08,0.851,7.727
1.849,112.0,9.08,0.852,7.736
1.861,110.0,9.08,0.85,7.718
1.872,108.0,9.08,0.851,7.727
1.883,106.0,9.076,0.851,7.724
1.895,103.0,9.08,0.85,7.718
1.906,101.0,9.08,0.852,7.736
1.918,98.0,9.076,0.85,7.715
1.929,95.0,9.08,0.829,7.527
1.94,93.0,9.08,0.829,7.527
1.952,90.0,9.08,0.829,7.527
1.963,87.0,9.08,0.829,7.527
1.974,84.0,9.084,0.83,7.54
1.985,80.0,9.08,0.832,7.555
1.996,77.0,9.08,0.829,7.527
2.008,74.0,9.08,0.829,7.527
2.019,70.0,9.08,0.83,7.536
2.03,67.0,9.084,0.805,7.313
2.041,63.0,9.08,0.808,7.337
2.051,59.0,9.08,0.807,7.328
2.061,55.0,9.08,0.808,7.337
2.072,51.0,9.084,0.807,7.331
2.082,47.0,9.08,0.807,7.328
2.093,42.0,9.08,0.808,7.337
2.103,38.0,9.08,0.807,7.328
2.114,33.0,9.08,0.807,7.328
2.124,32.0,9.08,0.786,7.137
2.135,30.0,9.08,0.785,7.128
2.146,28.0,9.084,0.787,7.149
2.158,27.0,9.084,0.787,7.149
2.169,25.0,9.084,0.786,7.14
2.181,23.0,9.084,0.785,7.131
2.192,21.0,9.08,0.785,7.128
2.205,19.0,9.084,0.784,7.122
2.217,17.0,9.084,0.784,7.122
2.229,15.0,9.084,0.786,7.14
2.24,13.0,9.08,0.785,7.128
2.253,11.0,9.084,0.786,7.14
2.264,9.0,9.08,0.787,7.146
2.275,6.0,9.08,0.785,7.128
2.286,4.0,9.084,0.785,7.131
2.298,2.0,9.08,0.786,7.137
2.309,0.0,9.08,0.785,7.128
2.321,0.0,9.084,0.786,7.14
2.332,0.0,9.084,0.786,7.14
2.343,0.0,9.084,0.783,7.113
2.354,0.0,9.08,0.784,7.119
2.365,0.0,9.08,0.786,7.137
2.376,0.0,9.08,0.785,7.128
2.388,0.0,9.084,0.784,7.122
2.399,0.0,9.084,0.787,7.149
2.41,0.0,9.08,0.786,7.137
2.421,0.0,9.08,0.785,7.128
2.434,0.0,9.084,0.786,7.14
2.446,0.0,9.084,0.789,7.167
2.457,0.0,9.076,0.79,7.17
2.468,0.0,9.08,0.789,7.164
2.479,0.0,9.08,0.787,7.146
2.492,0.0,9.08,0.787,7.146
2.504,0.0,9.08,0.806,7.318
2.515,0.0,9.08,0.81,7.355
2.527,0.0,9.076,0.808,7.333
2.538,0.0,9.08,0.808,7.337
2.549,0.0,9.08,0.807,7.328
2.56,0.0,9.08,0.81,7.355
2.571,0.0,9.076,0.808,7.333
2.582,0.0,9.08,0.808,7.337
2.593,0.0,9.084,0.811,7.367
2.605,0.0,9.08,0.809,7.346
2.616,0.0,9.08,0.81,7.355
2.627,0.0,9.08,0.809,7.346
2.639,0.0,9.08,0.81,7.355
2.65,0.0,9.08,0.809,7.346
2.661,0.0,9.08,0.809,7.346
2.672,0.0,9.08,0.81,7.355
2.683,0.0,9.084,0.808,7.34
2.694,0.0,9.08,0.812,7.373
2.705,0.0,9.084,0.808,7.34
2.716,0.0,9.08,0.809,7.346
2.728,0.0,9.08,0.806,7.318
2.739,0.0,9.08,0.809,7.346
2.75,0.0,9.084,0.81,7.358
2.761,0.0,9.084,0.807,7.331
2.772,0.0,9.08,0.807,7.328
2.783,0.0,9.08,0.808,7.337
2.795,0.0,9.08,0.83,7.536
2.806,0.0,9.08,0.83,7.536
2.818,0.0,9.08,0.83,7.536
2.829,0.0,9.08,0.829,7.527
2.841,0.0,9.08,0.832,7.555
2.852,0.0,9.08,0.832,7.555
2.863,0.0,9.08,0.83,7.536
2.874,0.0,9.088,0.832,7.561
2.885,0.0,9.08,0.831,7.545
2.896,0.0,9.084,0.83,7.54
2.908,0.0,9.08,0.83,7.536
2.919,0.0,9.08,0.83,7.536
2.93,0.0,9.08,0.831,7.545
2.941,0.0,9.08,0.83,7.536
2.952,0.0,9.08,0.83,7.536
2.962,0.0,9.08,0.832,7.555
2.972,0.0,9.08,0.829,7.527
2.983,0.0,9.08,0.831,7.545
2.993,0.0,9.08,0.833,7.564
3.004,0.0,9.08,0.83,7.536
3.014,0.0,9.08,0.83,7.536
3.025,0.0,9.08,0.831,7.545
3.037,0.0,9.08,0.833,7.564
3.049,0.0,9.08,0.831,7.545
3.061,0.0,9.08,0.828,7.518
3.072,0.0,9.08,0.829,7.527
3.084,0.0,9.08,0.851,7.727
3.095,0.0,9.08,0.85,7.718
3.106,0.0,9.08,0.851,7.727
3.117,0.0,9.08,0.85,7.718
3.129,0.0,9.08,0.847,7.691
3.14,0.0,9.08,0.849,7.709
3.151,0.0,9.08,0.851,7.727
3.162,0.0,9.08,0.85,7.718
3.173,0.0,9.08,0.85,7.718
3.184,0.0,9.08,0.851,7.727
3.196,0.0,9.08,0.85,7.718
3.207,0.0,9.084,0.851,7.73
3.219,0.0,9.08,0.851,7.727
3.23,0.0,9.08,0.849,7.709
3.241,0.0,9.076,0.851,7.724
3.252,0.0,9.08,0.849,7.709
3.263,0.0,9.08,0.85,7.718
3.274,0.0,9.08,0.851,7.727
3.285,0.0,9.08,0.85,7.718
3.296,0.0,9.08,0.851,7.727
3.307,0.0,9.08,0.851,7.727
3.319,0.0,9.084,0.851,7.73
3.33,0.0,9.08,0.849,7.709
3.342,0.0,9.08,0.85,7.718
3.353,0.0,9.08,0.85,7.718
3.364,0.0,9.076,0.85,7.715
3.375,0.0,9.08,0.87,7.9
3.386,0.0,9.084,0.872,7.921
3.397,0.0,9.08,0.874,7.936
3.409,0.0,9.08,0.872,7.918
3.42,0.0,9.08,0.871,7.909
3.431,0.0,9.08,0.873,7.927
3.443,0.0,9.08,0.871,7.909
3.455,0.0,9.08,0.872,7.918
3.466,0.0,9.08,0.872,7.918
3.478,0.0,9.08,0.872,7.918
3.489,0.0,9.08,0.873,7.927
3.502,0.0,9.08,0.871,7.909
3.513,0.0,9.08,0.871,7.909
3.525,0.0,9.08,0.872,7.918
3.536,0.0,9.08,0.873,7.927
3.548,0.0,9.08,0.873,7.927
3.559,0.0,9.08,0.871,7.909
3.571,0.0,9.08,0.873,7.927
3.583,0.0,9.076,0.872,7.914
3.595,0.0,9.08,0.871,7.909
3.606,0.0,9.08,0.872,7.918
3.618,0.0,9.08,0.873,7.927
3.629,0.0,9.08,0.873,7.927
3.641,0.0,9.08,0.872,7.918
3.651,0.0,9.076,0.872,7.914
3.659,0.0,9.08,0.871,7.909
3.668,0.0,9.08,0.893,8.108
3.676,0.0,9.08,0.895,8.127
3.685,0.0,9.076,0.895,8.123
3.694,0.0,9.08,0.894,8.118
3.702,0.0,9.08,0.893,8.108
3.711,0.0,9.08,0.894,8.118
3.72,0.0,9.076,0.895,8.123
3.728,0.0,9.08,0.892,8.099
3.737,0.0,9.08,0.894,8.118
3.745,0.0,9.08,0.894,8.118
3.753,0.0,9.076,0.896,8.132
3.762,0.0,9.08,0.894,8.118
3.77,0.0,9.08,0.893,8.108
3.778,0.0,9.08,0.895,8.127
3.787,0.0,9.08,0.895,8.127
3.796,0.0,9.08,0.896,8.136
3.805,0.0,9.076,0.898,8.15
3.813,0.0,9.076,0.894,8.114
3.821,0.0,9.08,0.893,8.108
3.83,0.0,9.08,0.897,8.145
3.838,0.0,9.08,0.895,8.127
3.847,0.0,9.08,0.892,8.099
3.856,0.0,9.08,0.893,8.108
3.864,0.0,9.076,0.893,8.105
3.873,0.0,9.076,0.897,8.141
3.881,0.0,9.08,0.897,8.145
3.89,0.0,9.08,0.894,8.118
3.898,0.0,9.08,0.895,8.127
3.909,0.0,9.08,0.894,8.118
3.919,0.0,9.076,0.895,8.123
3.927,0.0,9.08,0.896,8.136
3.936,0.0,9.076,0.895,8.123
3.944,0.0,9.08,0.894,8.118
3.952,0.0,9.076,0.916,8.314
3.96,0.0,9.08,0.915,8.308
3.97,0.0,9.076,0.917,8.323
3.979,0.0,9.076,0.914,8.295
3.988,0.0,9.076,0.917,8.323
3.996,0.0,9.076,0.919,8.341
4.005,0.0,9.076,0.917,8.323
4.013,0.0,9.076,0.916,8.314
4.022,0.0,9.08,0.916,8.317
4.031,0.0,9.076,0.915,8.305
4.04,0.0,9.076,0.917,8.323
4.048,0.0,9.076,0.915,8.305
4.056,0.0,9.08,0.918,8.335
4.065,0.0,9.08,0.918,8.335
4.073,0.0,9.08,0.918,8.335
4.081,0.0,9.08,0.918,8.335
4.089,0.0,9.076,0.918,8.332
4.098,0.0,9.076,0.918,8.332
4.106,0.0,9.076,0.916,8.314
4.114,0.0,9.076,0.915,8.305
4.124,0.0,9.076,0.916,8.314
4.132,0.0,9.08,0.917,8.326
4.141,0.0,9.08,0.916,8.317
4.149,0.0,9.08,0.913,8.29
4.158,0.0,9.076,0.914,8.295
4.167,0.0,9.076,0.918,8.332
4.175,0.0,9.076,0.915,8.305
4.184,0.0,9.072,0.919,8.337
4.193,0.0,9.08,0.915,8.308
4.201,0.0,9.076,0.915,8.305
4.21,0.0,9.08,0.917,8.326
4.219,0.0,9.076,0.916,8.314
4.228,0.0,9.076,0.919,8.341
4.236,0.0,9.076,0.918,8.332
4.245,0.0,9.076,0.94,8.531
4.253,0.0,9.076,0.936,8.495
4.263,0.0,9.076,0.939,8.522
4.271,0.0,9.08,0.938,8.517
4.28,0.0,9.076,0.938,8.513
4.289,0.0,9.08,0.939,8.526
4.298,0.0,9.076,0.939,8.522
4.306,0.0,9.08,0.939,8.526
4.315,0.0,9.08,0.936,8.499
4.324,0.0,9.076,0.938,8.513
4.332,0.0,9.076,0.938,8.513
4.341,0.0,9.076,0.936,8.495
4.35,0.0,9.076,0.939,8.522
4.361,0.0,9.076,0.939,8.522
4.372,0.0,9.08,0.939,8.526
4.384,0.0,9.076,0.938,8.513
4.395,0.0,9.076,0.937,8.504
4.407,0.0,9.076,0.938,8.513
4.419,0.0,9.076,0.937,8.504
4.431,0.0,9.076,0.936,8.495
4.442,0.0,9.076,0.936,8.495
4.453,0.0,9.08,0.936,8.499
4.464,0.0,9.076,0.938,8.513
4.475,0.0,9.076,0.937,8.504
4.487,0.0,9.076,0.936,8.495
4.498,0.0,9.076,0.935,8.486
4.509,0.0,9.076,0.935,8.486
4.52,0.0,9.076,0.935,8.486
4.531,0.0,9.076,0.958,8.695
4.542,0.0,9.076,0.957,8.686
4.553,0.0,9.08,0.956,8.68
4.564,0.0,9.076,0.957,8.686
4.575,0.0,9.076,0.958,8.695
4.587,0.0,9.076,0.958,8.695
4.599,0.0,9.076,0.958,8.695
4.61,0.0,9.076,0.959,8.704
4.621,0.0,9.08,0.958,8.699
4.633,0.0,9.076,0.957,8.686
4.645,0.0,9.08,0.959,8.708
4.656,0.0,9.076,0.957,8.686
4.667,0.0,9.08,0.957,8.69
4.678,0.0,9.076,0.959,8.704
4.69,0.0,9.08,0.956,8.68
4.701,0.0,9.076,0.957,8.686
4.713,0.0,9.076,0.957,8.686
4.727,0.0,9.08,0.956,8.68
4.739,0.0,9.076,0.958,8.695
4.75,0.0,9.076,0.958,8.695
4.762,0.0,9.076,0.956,8.677
4.773,0.0,9.076,0.958,8.695
4.784,0.0,9.076,0.958,8.695
4.796,0.0,9.076,0.956,8.677
4.807,0.0,9.076,0.959,8.704
4.818,0.0,9.076,0.958,8.695
4.829,0.0,9.076,0.98,8.894
4.84,0.0,9.08,0.979,8.889
4.852,0.0,9.076,0.979,8.885
4.863,0.0,9.076,0.98,8.894
4.875,0.0,9.076,0.979,8.885
4.886,0.0,9.076,0.981,8.904
4.898,0.0,9.076,0.979,8.885
4.909,0.0,9.076,0.979,8.885
4.92,0.0,9.076,0.978,8.876
4.931,0.0,9.072,0.979,8.881
4.943,0.0,9.072,0.978,8.872
4.954,0.0,9.076,0.979,8.885
4.965,0.0,9.076,0.98,8.894
4.976,0.0,9.076,0.979,8.885
4.987,0.0,9.076,0.979,8.885
4.998,0.0,9.076,0.979,8.885
5.009,0.0,9.076,0.978,8.876
5.02,0.0,9.076,0.98,8.894
5.031,0.0,9.072,0.979,8.881
5.042,0.0,9.076,0.98,8.894
5.055,0.0,9.076,0.981,8.904
5.066,0.0,9.076,0.979,8.885
5.077,0.0,9.076,0.979,8.885
5.089,0.0,9.076,0.979,8.885
5.1,0.0,9.076,0.98,8.894
