Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.225,0.0,5.248,0.0,0.0
0.236,0.0,5.248,0.0,0.0
0.246,0.0,5.252,0.0,0.0
0.258,0.0,5.248,0.0,0.0
0.268,0.0,5.252,0.0,0.0
0.279,0.0,9.228,0.013,0.12
0.29,0.0,9.256,0.013,0.12
0.301,0.0,9.256,0.013,0.12
0.311,0.0,9.252,0.012,0.111
0.323,0.0,9.252,0.014,0.13
0.333,0.0,9.256,0.012,0.111
0.344,0.0,9.256,0.012,0.111
0.355,0.0,9.256,0.014,0.13
0.366,0.0,9.256,0.013,0.12
0.376,0.0,9.256,0.013,0.12
0.388,0.0,9.256,0.012,0.111
0.398,0.0,9.256,0.012,0.111
0.409,0.0,9.18,-0.629,-5.774
0.479,0.0,9.172,-0.631,-5.788
0.49,0.0,9.172,-0.642,-5.888
0.5,0.0,9.176,-0.578,-5.304
0.511,0.0,9.172,-0.624,-5.723
0.522,0.0,9.172,-0.662,-6.072
0.532,0.0,9.176,-0.579,-5.313
0.542,0.0,9.164,-0.662,-6.067
0.553,0.0,9.168,-0.654,-5.996
0.563,0.0,9.18,-0.582,-5.343
0.573,0.0,9.172,-0.627,-5.751
0.584,0.0,9.184,-0.64,-5.878
0.594,0.0,9.172,-0.682,-6.255
0.665,0.0,9.172,-0.626,-5.742
0.677,0.0,9.156,-0.687,-6.29
0.686,0.0,9.172,-0.582,-5.338
0.697,0.0,9.172,-0.626,-5.742
0.708,0.0,9.148,-0.694,-6.349
0.719,0.0,9.172,-0.631,-5.788
0.729,0.0,9.192,-0.585,-5.377
0.739,0.0,9.184,-0.579,-5.318
0.75,0.0,9.172,-0.643,-5.898
0.761,0.0,9.164,-0.595,-5.453
0.771,0.0,9.18,-0.579,-5.315
0.781,0.0,9.172,-0.633,-5.806
0.792,0.0,9.164,-0.642,-5.883
0.802,0.0,9.18,-0.581,-5.334
0.812,0.0,9.172,-0.627,-5.751
0.823,0.0,9.172,-0.654,-5.998
0.833,0.0,9.18,-0.581,-5.334
0.844,0.0,9.172,-0.625,-5.732
0.855,0.0,9.164,-0.65,-5.957
0.865,0.0,9.176,-0.582,-5.34
0.875,0.0,9.168,-0.622,-5.702
0.886,0.0,9.164,-0.638,-5.847
0.896,0.0,9.18,-0.578,-5.306
0.906,0.0,9.168,-0.621,-5.693
0.917,0.0,9.168,-0.645,-5.913
0.927,0.0,9.176,-0.578,-5.304
0.937,0.0,9.172,-0.596,-5.467
0.948,0.0,9.172,-0.634,-5.815
0.959,0.0,9.184,-0.59,-5.419
0.969,0.0,9.152,-0.627,-5.738
0.98,0.0,9.188,-0.644,-5.917
0.99,0.0,9.172,-0.584,-5.356
1.0,0.0,9.18,-0.576,-5.288
1.011,0.0,9.188,-0.638,-5.862
1.021,0.0,9.168,-0.615,-5.638
1.031,0.0,9.18,-0.578,-5.306
1.042,0.0,9.164,-0.642,-5.883
1.053,0.0,9.18,-0.623,-5.719
1.063,0.0,9.18,-0.583,-5.352
1.073,0.0,9.176,-0.626,-5.744
1.084,0.0,9.164,-0.622,-5.7
1.094,0.0,9.18,-0.581,-5.334
1.105,0.0,9.16,-0.63,-5.771
1.115,0.0,9.172,-0.632,-5.797
1.125,0.0,9.18,-0.579,-5.315
1.136,0.0,9.172,-0.623,-5.714
1.147,0.0,9.16,-0.652,-5.972
1.156,0.0,9.188,-0.578,-5.311
1.167,0.0,9.172,-0.625,-5.732
1.178,0.0,9.172,-0.655,-6.008
1.188,0.0,9.176,-0.579,-5.313
1.198,0.0,9.16,-0.631,-5.78
1.209,0.0,9.172,-0.655,-6.008
1.219,0.0,9.176,-0.587,-5.386
1.229,0.0,9.168,-0.636,-5.831
1.24,0.0,9.164,-0.646,-5.92
1.25,0.0,9.176,-0.581,-5.331
1.26,0.0,9.172,-0.626,-5.742
1.271,0.0,9.164,-0.639,-5.856
1.282,0.0,9.18,-0.583,-5.352
1.292,0.0,9.18,-0.625,-5.738
1.302,0.0,9.172,-0.667,-6.118
1.313,0.0,9.188,-0.582,-5.347
1.323,0.0,9.176,-0.58,-5.322
1.334,37.0,9.168,-0.633,-5.803
1.344,32.0,9.196,-0.574,-5.279
1.354,27.0,9.184,-0.582,-5.345
1.365,23.0,9.16,-0.629,-5.762
1.376,18.0,9.188,-0.582,-5.347
1.386,12.0,9.18,-0.574,-5.269
1.396,10.0,9.156,-0.628,-5.75
1.407,8.0,9.164,-0.657,-6.021
1.417,6.0,9.18,-0.578,-5.306
1.428,4.0,9.172,-0.626,-5.742
1.438,1.0,9.168,-0.658,-6.033
