Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.591,0.0,5.08,0.01,0.051
0.601,0.0,5.072,0.01,0.051
0.613,0.0,5.072,0.01,0.051
0.625,0.0,5.076,0.01,0.051
0.638,0.0,5.072,0.0,0.0
0.65,0.0,5.076,0.0,0.0
0.663,0.0,5.072,0.01,0.051
0.675,0.0,5.072,0.01,0.051
0.687,0.0,5.076,0.0,0.0
0.699,0.0,5.072,0.011,0.056
0.711,0.0,5.076,0.01,0.051
0.722,0.0,5.076,0.0,0.0
0.732,0.0,5.076,0.011,0.056
0.743,0.0,5.076,0.01,0.051
0.755,0.0,5.076,0.0,0.0
0.766,0.0,5.076,0.01,0.051
0.776,0.0,5.076,0.01,0.051
0.787,0.0,5.072,0.01,0.051
0.799,0.0,5.076,0.01,0.051
0.81,0.0,5.072,0.01,0.051
0.821,0.0,5.076,0.01,0.051
0.833,0.0,5.076,0.01,0.051
0.844,0.0,5.076,0.0,0.0
0.855,0.0,5.072,0.0,0.0
0.866,0.0,5.072,0.0,0.0
0.878,0.0,5.072,0.0,0.0
0.889,0.0,5.076,0.01,0.051
0.9,0.0,5.076,0.01,0.051
0.912,0.0,5.076,0.011,0.056
0.924,0.0,5.072,0.011,0.056
0.935,0.0,5.076,0.0,0.0
0.946,0.0,5.076,0.01,0.051
0.957,0.0,5.076,0.011,0.056
0.968,0.0,5.072,0.011,0.056
0.979,0.0,5.072,0.0,0.0
0.991,0.0,5.076,0.0,0.0
1.002,0.0,5.076,0.0,0.0
1.014,0.0,5.072,0.01,0.051
1.025,0.0,5.072,0.01,0.051
1.036,0.0,5.076,0.01,0.051
1.048,0.0,5.072,0.0,0.0
1.06,0.0,5.072,0.0,0.0
1.071,0.0,5.072,0.0,0.0
1.083,0.0,5.072,0.01,0.051
1.094,0.0,5.072,0.0,0.0
1.105,0.0,5.076,0.0,0.0
1.117,0.0,5.076,0.0,0.0
1.129,0.0,5.072,0.011,0.056
1.14,0.0,5.076,0.0,0.0
1.152,0.0,5.076,0.0,0.0
1.163,0.0,5.072,0.0,0.0
1.175,0.0,5.076,0.0,0.0
1.187,0.0,5.08,0.011,0.056
1.198,73.0,5.076,0.01,0.051
1.21,73.0,5.076,0.0,0.0
1.221,73.0,5.072,0.01,0.051
1.233,72.0,5.076,0.01,0.051
1.244,72.0,5.072,0.0,0.0
1.256,71.0,5.076,0.01,0.051
1.267,71.0,5.072,0.01,0.051
1.281,70.0,5.076,0.0,0.0
1.294,70.0,5.076,0.0,0.0
1.308,69.0,5.072,0.0,0.0
1.319,68.0,5.076,0.01,0.051
1.33,67.0,5.072,0.01,0.051
1.341,66.0,5.072,0.01,0.051
1.353,65.0,5.076,0.0,0.0
1.365,64.0,5.076,0.033,0.168
1.376,63.0,5.072,0.067,0.34
1.387,62.0,5.072,0.065,0.33
1.398,61.0,5.072,0.09,0.456
1.41,59.0,5.072,0.09,0.456
1.478,58.0,5.068,0.136,0.689
1.489,57.0,5.068,0.138,0.699
1.5,55.0,5.068,0.16,0.811
1.512,54.0,5.068,0.159,0.806
1.524,52.0,5.072,0.158,0.801
1.536,50.0,5.068,0.182,0.922
1.549,49.0,5.068,0.181,0.917
1.561,47.0,5.068,0.183,0.927
1.574,45.0,5.068,0.205,1.039
1.586,43.0,5.072,0.206,1.045
1.599,41.0,5.068,0.231,1.171
1.611,39.0,5.068,0.229,1.161
1.622,37.0,5.068,0.228,1.156
1.633,35.0,5.068,0.253,1.282
1.644,33.0,5.068,0.254,1.287
1.655,31.0,5.068,0.252,1.277
1.666,29.0,5.068,0.276,1.399
1.678,26.0,5.068,0.276,1.399
1.689,24.0,5.068,0.274,1.389
1.7,21.0,5.064,0.299,1.514
1.711,19.0,5.064,0.3,1.519
1.722,16.0,5.064,0.3,1.519
1.733,14.0,5.06,0.32,1.619
1.745,11.0,5.064,0.323,1.636
1.756,8.0,5.064,0.322,1.631
1.767,5.0,5.064,0.344,1.742
1.778,2.0,5.064,0.346,1.752
1.789,0.0,5.064,0.344,1.742
1.8,0.0,5.064,0.369,1.869
1.811,0.0,5.064,0.315,1.595
1.825,0.0,5.064,0.369,1.869
1.836,0.0,5.06,0.369,1.867
1.848,0.0,5.064,0.371,1.879
1.859,0.0,5.06,0.394,1.994
1.87,0.0,5.06,0.391,1.978
1.882,0.0,5.064,0.391,1.98
1.893,0.0,5.06,0.392,1.984
1.904,0.0,5.064,0.392,1.985
1.914,0.0,5.064,0.412,2.086
1.923,0.0,5.06,0.415,2.1
1.932,0.0,5.06,0.415,2.1
1.941,0.0,5.06,0.351,1.776
1.95,0.0,5.06,0.404,2.044
1.959,0.0,5.064,0.381,1.929
1.968,0.0,5.064,0.344,1.742
1.976,0.0,5.064,0.288,1.458
1.985,0.0,5.06,0.303,1.533
1.993,0.0,5.068,0.242,1.226
2.002,0.0,5.064,0.414,2.096
2.01,0.0,5.068,0.25,1.267
2.019,0.0,5.06,0.416,2.105
2.027,0.0,5.06,0.417,2.11
2.036,0.0,5.06,0.417,2.11
