Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.106,0.0,0.112,0.0,0.0
0.114,0.0,0.108,0.0,0.0
0.122,0.0,0.108,0.0,0.0
0.129,0.0,0.112,0.0,0.0
0.138,0.0,0.108,0.0,0.0
0.146,0.0,0.108,0.0,0.0
0.155,0.0,0.108,0.0,0.0
0.163,0.0,0.108,0.0,0.0
0.17,0.0,0.104,0.0,0.0
0.178,0.0,5.076,0.011,0.056
0.187,0.0,5.076,0.01,0.051
0.196,0.0,5.076,0.0,0.0
0.203,0.0,5.076,0.0,0.0
0.212,0.0,5.076,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.265,0.0,5.076,0.0,0.0
0.272,0.0,5.076,0.011,0.056
0.281,0.0,5.076,0.0,0.0
0.29,0.0,5.076,0.01,0.051
0.297,0.0,5.076,0.01,0.051
0.305,0.0,5.076,0.0,0.0
0.314,0.0,5.072,0.0,0.0
0.322,0.0,5.076,0.01,0.051
0.33,0.0,5.076,0.011,0.056
0.338,0.0,5.076,0.0,0.0
0.347,0.0,5.076,0.01,0.051
0.355,0.0,5.076,0.0,0.0
0.363,0.0,5.076,0.0,0.0
0.371,0.0,5.072,0.0,0.0
0.379,0.0,5.076,0.01,0.051
0.388,0.0,5.08,0.01,0.051
0.395,0.0,5.076,0.01,0.051
0.403,0.0,20.208,1.06,21.42
0.412,0.0,20.204,1.072,21.659
0.421,0.0,20.208,1.069,21.602
0.428,0.0,20.212,1.069,21.607
0.436,0.0,20.208,1.07,21.623
0.493,0.0,20.212,1.068,21.586
0.501,0.0,20.212,1.07,21.627
0.51,0.0,20.212,1.072,21.667
0.518,0.0,20.208,1.071,21.643
0.525,0.0,20.208,1.069,21.602
0.533,0.0,20.212,1.07,21.627
0.542,0.0,20.208,1.071,21.643
0.55,0.0,20.212,1.071,21.647
0.558,0.0,20.208,1.071,21.643
0.566,0.0,20.208,1.072,21.663
0.575,0.0,20.212,1.069,21.607
0.583,0.0,20.208,1.072,21.663
0.591,0.0,20.212,1.072,21.667
0.599,0.0,20.208,1.07,21.623
0.608,0.0,20.208,1.096,22.148
0.616,0.0,20.208,1.096,22.148
0.624,0.0,20.208,1.093,22.087
0.632,0.0,20.208,1.097,22.168
0.64,0.0,20.204,1.095,22.123
0.648,0.0,20.208,1.095,22.128
0.656,0.0,20.208,1.095,22.128
0.664,0.0,20.208,1.095,22.128
0.673,0.0,20.208,1.094,22.108
0.681,0.0,20.208,1.096,22.148
0.689,0.0,20.208,1.095,22.128
0.697,0.0,20.208,1.096,22.148
0.705,0.0,20.212,1.095,22.132
0.714,0.0,20.208,1.096,22.148
0.721,0.0,20.208,1.096,22.148
0.729,0.0,20.212,1.097,22.173
0.738,0.0,20.212,1.096,22.152
0.747,0.0,20.208,1.093,22.087
0.754,0.0,20.208,1.094,22.108
0.762,0.0,20.212,1.094,22.112
0.771,0.0,20.208,1.095,22.128
0.78,0.0,20.208,1.096,22.148
0.791,0.0,20.208,1.094,22.108
0.802,0.0,20.212,1.118,22.597
0.814,0.0,20.208,1.119,22.613
0.824,0.0,20.208,1.119,22.613
0.836,0.0,20.212,1.12,22.637
0.847,0.0,20.208,1.116,22.552
0.857,0.0,20.208,1.119,22.613
0.869,0.0,20.208,1.121,22.653
0.88,0.0,20.208,1.12,22.633
0.891,0.0,20.208,1.12,22.633
0.902,0.0,20.208,1.118,22.593
0.913,0.0,20.208,1.121,22.653
0.923,0.0,20.208,1.117,22.572
0.934,0.0,20.208,1.12,22.633
0.946,0.0,20.208,1.12,22.633
0.956,0.0,20.208,1.119,22.613
0.967,0.0,20.208,1.116,22.552
0.979,0.0,20.204,1.118,22.588
0.988,0.0,20.208,1.119,22.613
0.998,0.0,20.212,1.139,23.021
1.009,0.0,20.212,1.143,23.102
1.019,0.0,20.212,1.142,23.082
1.029,0.0,20.208,1.139,23.017
1.039,0.0,20.212,1.142,23.082
1.048,0.0,20.208,1.14,23.037
1.058,0.0,20.208,1.14,23.037
1.068,0.0,20.212,1.141,23.062
1.078,222.0,20.212,1.141,23.062
1.088,216.0,20.208,1.143,23.098
1.099,210.0,20.208,1.141,23.057
1.11,203.0,20.208,1.141,23.057
1.121,197.0,20.208,1.142,23.078
1.131,190.0,20.208,1.141,23.057
1.142,183.0,20.212,1.143,23.102
1.152,176.0,20.212,1.141,23.062
1.163,168.0,20.208,1.141,23.057
1.174,160.0,20.208,1.143,23.098
1.184,155.0,20.208,1.141,23.057
1.195,150.0,20.208,1.165,23.542
1.206,145.0,20.208,1.164,23.522
1.216,139.0,20.208,1.164,23.522
1.227,134.0,20.208,1.163,23.502
1.238,128.0,20.204,1.162,23.477
1.248,122.0,20.208,1.165,23.542
1.259,115.0,20.208,1.164,23.522
1.27,109.0,20.208,1.165,23.542
1.28,102.0,20.208,1.163,23.502
1.291,95.0,20.204,1.164,23.517
1.302,88.0,20.208,1.166,23.563
1.312,81.0,20.208,1.165,23.542
1.323,74.0,20.208,1.165,23.542
1.334,66.0,20.208,1.164,23.522
1.345,59.0,20.208,1.165,23.542
1.355,51.0,20.208,1.166,23.563
1.366,43.0,20.208,1.166,23.563
1.376,34.0,20.208,1.165,23.542
1.387,26.0,20.212,1.164,23.527
1.397,17.0,20.208,1.188,24.007
1.408,8.0,20.208,1.189,24.027
1.419,0.0,20.208,1.188,24.007
1.43,0.0,20.208,1.189,24.027
1.441,0.0,20.208,1.189,24.027
1.451,0.0,20.212,1.188,24.012
1.461,0.0,20.208,1.186,23.967
1.473,0.0,20.208,1.189,24.027
1.483,0.0,20.208,1.188,24.007
1.493,0.0,20.208,1.188,24.007
1.504,0.0,20.208,1.187,23.987
1.515,0.0,20.208,1.187,23.987
1.525,0.0,20.208,1.189,24.027
1.536,0.0,20.208,1.187,23.987
1.546,0.0,20.208,1.189,24.027
1.557,0.0,20.208,1.188,24.007
1.568,0.0,20.212,1.189,24.032
1.578,0.0,20.208,1.188,24.007
1.589,0.0,20.208,1.21,24.452
1.6,0.0,20.204,1.213,24.507
1.61,0.0,20.208,1.212,24.492
1.621,0.0,20.208,1.211,24.472
1.632,0.0,20.208,1.212,24.492
1.643,0.0,20.208,1.211,24.472
1.653,0.0,20.208,1.211,24.472
1.664,0.0,20.204,1.211,24.467
1.675,0.0,20.208,1.212,24.492
1.685,0.0,20.208,1.211,24.472
1.695,0.0,20.208,1.211,24.472
1.705,0.0,20.208,1.212,24.492
1.714,0.0,20.208,1.213,24.512
1.725,0.0,20.208,1.212,24.492
1.735,0.0,20.212,1.212,24.497
1.744,0.0,20.212,1.213,24.517
1.754,0.0,20.208,1.212,24.492
1.764,0.0,20.208,1.213,24.512
1.774,0.0,20.208,1.211,24.472
1.784,0.0,20.208,1.234,24.937
1.795,0.0,20.204,1.234,24.932
1.805,0.0,20.208,1.235,24.957
1.816,0.0,20.208,1.235,24.957
1.827,0.0,20.212,1.234,24.942
1.837,0.0,20.204,1.235,24.952
1.847,0.0,20.212,1.235,24.962
1.858,0.0,20.204,1.236,24.972
1.869,0.0,20.208,1.236,24.977
1.88,0.0,20.204,1.236,24.972
1.89,0.0,20.208,1.236,24.977
1.9,0.0,20.208,1.238,25.018
1.909,0.0,20.208,1.235,24.957
1.919,0.0,20.204,1.236,24.972
1.93,0.0,20.208,1.237,24.997
1.939,0.0,20.204,1.237,24.992
1.948,0.0,20.212,1.239,25.043
1.959,0.0,20.204,1.238,25.013
1.969,0.0,20.208,1.236,24.977
1.978,0.0,20.208,1.259,25.442
1.989,0.0,20.208,1.258,25.422
2.0,0.0,20.208,1.26,25.462
2.01,0.0,20.208,1.257,25.401
2.021,0.0,20.208,1.259,25.442
2.032,0.0,20.208,1.263,25.523
2.042,0.0,20.204,1.261,25.477
2.053,0.0,20.208,1.259,25.442
2.064,0.0,20.208,1.257,25.401
2.074,0.0,20.208,1.261,25.482
2.085,0.0,20.208,1.261,25.482
2.095,0.0,20.208,1.26,25.462
2.104,0.0,20.208,1.26,25.462
2.114,0.0,20.204,1.258,25.417
2.124,0.0,20.204,1.262,25.497
2.134,0.0,20.204,1.26,25.457
2.143,0.0,20.204,1.26,25.457
2.153,0.0,20.204,1.262,25.497
2.163,0.0,20.204,1.26,25.457
2.173,0.0,20.204,1.284,25.942
2.183,0.0,20.204,1.282,25.902
2.194,0.0,20.204,1.282,25.902
2.204,0.0,20.208,1.285,25.967
2.215,0.0,20.208,1.283,25.927
2.226,0.0,20.204,1.283,25.922
2.236,0.0,20.208,1.282,25.907
2.246,0.0,20.208,1.284,25.947
2.258,0.0,20.204,1.283,25.922
2.268,0.0,20.204,1.283,25.922
2.278,0.0,20.208,1.285,25.967
2.29,0.0,20.208,1.283,25.927
2.3,0.0,20.208,1.286,25.987
2.31,0.0,20.204,1.282,25.902
2.321,0.0,20.208,1.283,25.927
2.332,0.0,20.204,1.285,25.962
2.342,0.0,20.208,1.284,25.947
2.353,0.0,20.208,1.283,25.927
2.364,0.0,20.204,1.281,25.881
2.374,0.0,20.204,1.304,26.346
2.385,0.0,20.204,1.307,26.407
2.396,0.0,20.204,1.302,26.306
2.406,0.0,20.208,1.304,26.351
2.418,0.0,20.208,1.304,26.351
2.428,0.0,20.204,1.305,26.366
2.438,0.0,20.204,1.304,26.346
2.45,0.0,20.204,1.303,26.326
2.46,0.0,20.208,1.304,26.351
2.471,0.0,20.204,1.304,26.346
2.482,0.0,20.208,1.304,26.351
2.493,0.0,20.208,1.301,26.291
2.503,0.0,20.204,1.304,26.346
2.514,0.0,20.208,1.303,26.331
2.525,0.0,20.204,1.303,26.326
2.535,0.0,20.204,1.304,26.346
2.546,0.0,20.204,1.303,26.326
2.557,0.0,20.204,1.305,26.366
2.567,0.0,20.204,1.327,26.811
2.578,0.0,20.204,1.329,26.851
2.59,0.0,20.204,1.329,26.851
2.6,0.0,20.204,1.326,26.791
2.611,0.0,20.204,1.328,26.831
2.622,0.0,20.208,1.327,26.816
2.632,0.0,20.204,1.328,26.831
2.643,0.0,20.208,1.326,26.796
2.654,0.0,20.204,1.33,26.871
2.664,0.0,20.204,1.328,26.831
2.675,0.0,20.204,1.327,26.811
2.687,0.0,20.204,1.33,26.871
2.697,0.0,20.204,1.327,26.811
2.708,0.0,20.204,1.329,26.851
2.719,0.0,20.204,1.328,26.831
2.729,0.0,20.2,1.327,26.805
2.74,0.0,20.204,1.327,26.811
2.751,0.0,20.204,1.327,26.811
2.761,0.0,20.208,1.353,27.341
2.771,0.0,20.204,1.351,27.296
2.783,0.0,20.204,1.352,27.316
2.792,0.0,20.204,1.35,27.275
2.802,0.0,20.208,1.349,27.261
2.813,0.0,20.204,1.352,27.316
2.822,0.0,20.204,1.349,27.255
2.832,0.0,20.204,1.352,27.316
2.843,0.0,20.204,1.351,27.296
2.853,0.0,20.204,1.35,27.275
2.862,0.0,20.204,1.352,27.316
2.873,0.0,20.204,1.35,27.275
2.883,0.0,20.204,1.35,27.275
2.893,0.0,20.204,1.35,27.275
2.904,0.0,20.2,1.35,27.27
2.915,0.0,20.204,1.352,27.316
2.926,0.0,20.204,1.35,27.275
2.937,0.0,20.204,1.352,27.316
2.949,0.0,20.204,1.351,27.296
2.959,0.0,20.2,1.375,27.775
2.971,0.0,20.204,1.374,27.76
2.983,0.0,20.204,1.374,27.76
2.994,0.0,20.204,1.374,27.76
3.005,0.0,20.204,1.371,27.7
3.016,0.0,20.204,1.374,27.76
3.026,0.0,20.204,1.373,27.74
3.037,0.0,20.204,1.374,27.76
3.048,0.0,20.2,1.375,27.775
3.058,0.0,20.204,1.373,27.74
3.07,0.0,20.204,1.374,27.76
3.08,0.0,20.204,1.372,27.72
3.091,0.0,20.204,1.376,27.801
3.101,0.0,20.204,1.373,27.74
3.112,0.0,20.204,1.375,27.78
3.123,0.0,20.208,1.375,27.786
3.134,0.0,20.204,1.375,27.78
3.145,0.0,20.208,1.374,27.766
3.155,0.0,20.2,1.4,28.28
3.166,0.0,20.2,1.4,28.28
3.177,0.0,20.204,1.398,28.245
3.187,0.0,20.204,1.401,28.306
3.198,0.0,20.204,1.397,28.225
3.21,0.0,20.204,1.399,28.265
3.22,0.0,20.204,1.396,28.205
3.23,0.0,20.2,1.4,28.28
3.241,0.0,20.204,1.398,28.245
3.252,0.0,20.204,1.399,28.265
3.262,0.0,20.204,1.4,28.286
3.273,0.0,20.204,1.398,28.245
3.284,0.0,20.204,1.4,28.286
3.294,0.0,20.2,1.4,28.28
3.306,0.0,20.2,1.397,28.219
3.316,0.0,20.204,1.399,28.265
3.327,0.0,20.204,1.4,28.286
3.338,0.0,20.204,1.399,28.265
3.349,0.0,20.2,1.42,28.684
3.359,0.0,20.204,1.423,28.75
3.371,0.0,20.204,1.422,28.73
3.381,0.0,20.2,1.423,28.745
3.392,0.0,20.204,1.422,28.73
3.403,0.0,20.2,1.423,28.745
3.414,0.0,20.204,1.42,28.69
3.424,0.0,20.204,1.423,28.75
3.436,0.0,20.204,1.423,28.75
3.447,0.0,20.204,1.422,28.73
3.457,0.0,20.204,1.422,28.73
3.468,0.0,20.204,1.423,28.75
3.479,0.0,20.204,1.422,28.73
3.49,0.0,20.204,1.421,28.71
3.501,0.0,20.204,1.422,28.73
3.512,0.0,20.2,1.424,28.765
3.523,0.0,20.204,1.422,28.73
3.534,0.0,20.204,1.421,28.71
3.545,0.0,20.204,1.442,29.134
3.556,0.0,20.204,1.444,29.175
3.567,0.0,20.2,1.447,29.229
3.578,0.0,20.204,1.445,29.195
3.589,0.0,20.204,1.446,29.215
3.6,0.0,20.2,1.443,29.149
3.611,0.0,20.2,1.446,29.209
3.621,0.0,20.2,1.448,29.25
3.633,0.0,20.204,1.446,29.215
3.644,0.0,20.2,1.448,29.25
3.654,0.0,20.204,1.446,29.215
3.666,0.0,20.2,1.446,29.209
3.676,0.0,20.2,1.445,29.189
3.687,0.0,20.204,1.446,29.215
