Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.406,0.0,0.108,0.0,0.0
0.415,0.0,0.104,0.0,0.0
0.424,0.0,0.104,0.0,0.0
0.433,0.0,0.108,0.0,0.0
0.442,0.0,0.108,0.0,0.0
0.451,0.0,0.104,0.0,0.0
0.461,0.0,0.108,0.0,0.0
0.508,0.0,0.104,0.0,0.0
0.517,0.0,0.108,0.0,0.0
0.527,0.0,0.104,0.0,0.0
0.536,0.0,0.108,0.0,0.0
0.545,0.0,0.108,0.0,0.0
0.555,0.0,0.108,0.0,0.0
0.564,0.0,0.104,0.0,0.0
0.573,0.0,0.104,0.0,0.0
0.583,0.0,0.104,0.0,0.0
0.592,0.0,0.104,0.0,0.0
0.602,0.0,0.108,0.0,0.0
0.61,0.0,0.108,0.0,0.0
0.619,0.0,0.108,0.0,0.0
0.628,0.0,0.108,0.0,0.0
0.637,0.0,0.108,0.0,0.0
0.645,0.0,0.104,0.0,0.0
0.653,0.0,0.108,0.0,0.0
0.662,0.0,0.104,0.0,0.0
0.67,0.0,0.108,0.0,0.0
0.678,0.0,0.108,0.0,0.0
0.687,0.0,0.108,0.0,0.0
0.695,0.0,0.104,0.0,0.0
0.703,0.0,0.104,0.0,0.0
0.712,0.0,0.104,0.0,0.0
0.72,0.0,0.108,0.0,0.0
0.729,0.0,0.108,0.0,0.0
0.737,0.0,0.108,0.0,0.0
0.745,0.0,0.108,0.0,0.0
0.754,0.0,0.104,0.0,0.0
0.762,0.0,0.108,0.0,0.0
0.77,0.0,0.108,0.0,0.0
0.779,0.0,0.108,0.0,0.0
0.788,0.0,0.108,0.0,0.0
0.797,0.0,0.108,0.0,0.0
0.805,0.0,0.104,0.0,0.0
0.815,0.0,0.104,0.0,0.0
0.823,0.0,0.104,0.0,0.0
0.831,0.0,0.108,0.0,0.0
0.839,0.0,0.108,0.0,0.0
0.848,0.0,0.104,0.0,0.0
0.856,0.0,0.108,0.0,0.0
0.865,0.0,0.104,0.0,0.0
0.873,0.0,0.104,0.0,0.0
0.917,0.0,0.104,0.0,0.0
0.925,0.0,0.108,0.0,0.0
0.934,0.0,0.104,0.0,0.0
