Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.273,0.0,5.076,0.0,0.0
0.285,0.0,5.076,0.0,0.0
0.297,0.0,5.072,0.0,0.0
0.309,0.0,5.076,0.012,0.061
0.32,0.0,5.072,0.011,0.056
0.331,0.0,5.072,0.01,0.051
0.343,0.0,5.076,0.0,0.0
0.355,0.0,5.072,0.01,0.051
0.367,0.0,5.076,0.0,0.0
0.378,0.0,5.076,0.0,0.0
0.39,0.0,5.076,0.111,0.563
0.402,0.0,5.076,0.01,0.051
0.414,0.0,5.076,0.01,0.051
0.426,0.0,5.076,0.0,0.0
0.438,0.0,5.076,0.0,0.0
0.538,0.0,5.076,0.0,0.0
0.549,0.0,5.076,0.0,0.0
0.561,0.0,5.076,0.01,0.051
0.572,0.0,5.072,0.01,0.051
0.584,0.0,5.076,0.01,0.051
0.596,0.0,5.072,0.0,0.0
0.607,0.0,5.076,0.0,0.0
0.619,0.0,5.076,0.0,0.0
0.63,0.0,15.172,0.028,0.425
0.642,0.0,15.172,0.029,0.44
0.653,0.0,15.172,0.028,0.425
0.726,0.0,15.168,0.226,3.428
0.738,0.0,15.16,0.322,4.882
0.75,0.0,15.16,0.528,8.004
0.762,0.0,15.156,0.646,9.791
0.774,0.0,15.152,0.743,11.258
0.785,0.0,15.172,0.028,0.425
0.797,0.0,15.168,0.225,3.413
0.809,0.0,15.16,0.421,6.382
0.821,0.0,15.16,0.528,8.004
0.833,0.0,15.156,0.637,9.654
0.845,0.0,15.152,0.739,11.197
0.856,0.0,15.148,0.833,12.618
0.868,0.0,15.148,0.932,14.118
0.879,0.0,15.144,0.916,13.872
0.891,0.0,15.144,0.917,13.887
0.902,0.0,15.144,0.945,14.311
0.914,0.0,15.148,0.898,13.603
0.925,0.0,15.148,0.907,13.739
0.937,0.0,15.144,0.902,13.66
0.948,0.0,15.144,0.959,14.523
0.96,0.0,15.152,0.904,13.697
0.972,0.0,15.148,0.898,13.603
0.982,0.0,15.148,0.909,13.77
0.993,0.0,15.144,0.911,13.796
1.004,0.0,15.148,0.943,14.285
1.014,0.0,15.148,0.93,14.088
1.025,0.0,15.148,0.915,13.86
1.035,0.0,15.148,0.902,13.663
1.046,0.0,15.144,0.913,13.826
1.057,0.0,15.148,0.894,13.542
1.068,0.0,15.144,0.953,14.432
1.079,0.0,15.148,0.903,13.679
1.089,0.0,15.148,0.935,14.163
1.1,0.0,15.144,0.982,14.871
1.111,0.0,15.144,0.955,14.463
1.121,0.0,15.148,0.895,13.557
1.131,0.0,15.148,1.016,15.39
1.142,0.0,15.144,0.928,14.054
1.153,0.0,15.144,0.911,13.796
1.163,0.0,15.168,0.028,0.425
1.174,0.0,15.172,0.029,0.44
1.182,0.0,15.164,0.228,3.457
1.191,0.0,15.16,0.42,6.367
1.199,0.0,15.156,0.534,8.093
1.208,0.0,15.16,0.53,8.035
1.216,0.0,15.156,0.646,9.791
1.223,0.0,15.152,0.747,11.319
1.231,0.0,15.152,0.816,12.364
1.239,0.0,15.148,0.844,12.785
1.247,0.0,15.148,0.946,14.33
1.255,0.0,15.144,0.933,14.129
1.264,0.0,15.14,1.011,15.307
1.272,0.0,15.144,0.938,14.205
1.28,0.0,15.148,0.955,14.466
1.288,0.0,15.148,0.924,13.997
1.296,0.0,15.144,0.967,14.644
1.304,0.0,15.144,0.965,14.614
1.312,0.0,15.148,0.93,14.088
1.32,0.0,15.148,0.914,13.845
1.327,0.0,15.144,0.998,15.114
1.335,0.0,15.144,0.912,13.811
1.343,0.0,15.148,0.936,14.179
1.351,0.0,15.144,0.917,13.887
1.359,0.0,15.148,0.921,13.951
1.366,0.0,15.148,0.994,15.057
1.374,153.0,15.148,0.94,14.239
1.382,148.0,15.148,0.909,13.77
1.39,143.0,15.148,0.959,14.527
1.398,138.0,15.144,0.956,14.478
1.406,133.0,15.144,0.92,13.932
1.414,127.0,15.148,0.92,13.936
1.421,122.0,15.152,0.946,14.334
1.429,116.0,15.148,0.991,15.012
1.437,110.0,15.144,0.951,14.402
1.445,106.0,15.148,0.906,13.724
1.453,103.0,15.148,0.909,13.77
1.461,100.0,15.148,0.956,14.481
1.469,96.0,15.144,0.918,13.902
1.477,92.0,15.144,0.929,14.069
1.485,89.0,15.144,0.905,13.705
1.493,85.0,15.148,0.929,14.072
1.502,81.0,15.148,0.953,14.436
1.51,76.0,15.148,0.948,14.36
1.518,72.0,15.148,0.929,14.072
1.526,68.0,15.148,0.917,13.891
1.534,63.0,15.144,0.954,14.447
1.542,59.0,15.144,0.966,14.629
1.55,54.0,15.148,0.908,13.754
1.558,49.0,15.144,0.931,14.099
1.566,44.0,15.14,1.175,17.79
1.574,39.0,15.148,0.957,14.497
1.582,33.0,15.144,0.924,13.993
1.591,28.0,15.144,0.948,14.357
1.599,23.0,15.148,0.969,14.678
1.607,17.0,15.148,0.942,14.269
1.615,11.0,15.148,0.937,14.194
1.623,5.0,15.144,0.933,14.129
