Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.081,0.0,3.748,0.0,0.0
0.088,0.0,3.66,0.0,0.0
0.096,0.0,3.576,0.0,0.0
0.105,0.0,3.548,0.0,0.0
0.113,0.0,3.544,0.0,0.0
0.121,0.0,3.548,0.0,0.0
0.128,0.0,3.544,0.0,0.0
0.137,0.0,3.548,0.0,0.0
0.145,0.0,3.548,0.0,0.0
0.153,0.0,3.548,0.0,0.0
0.161,0.0,3.544,0.0,0.0
0.169,0.0,3.544,0.0,0.0
0.177,0.0,3.548,0.0,0.0
0.185,0.0,3.548,0.0,0.0
0.193,0.0,3.548,0.0,0.0
0.201,0.0,3.548,0.0,0.0
0.21,0.0,0.108,0.0,0.0
0.217,0.0,0.096,0.0,0.0
0.225,0.0,0.1,0.0,0.0
0.233,0.0,0.1,0.0,0.0
0.242,0.0,0.096,0.0,0.0
0.249,0.0,0.1,0.0,0.0
0.257,0.0,0.1,0.0,0.0
0.265,0.0,0.1,0.0,0.0
0.274,0.0,0.1,0.0,0.0
0.281,0.0,0.1,0.0,0.0
0.289,0.0,0.1,0.0,0.0
0.298,0.0,0.1,0.0,0.0
0.306,0.0,0.1,0.0,0.0
0.313,0.0,0.096,0.0,0.0
0.321,0.0,0.096,0.0,0.0
0.329,0.0,0.104,0.0,0.0
0.338,0.0,0.1,0.0,0.0
0.346,0.0,0.1,0.0,0.0
0.353,0.0,0.1,0.0,0.0
0.362,0.0,1.964,0.04,0.079
0.37,0.0,5.076,0.0,0.0
0.378,0.0,5.076,0.0,0.0
0.385,0.0,5.076,0.01,0.051
0.394,0.0,5.076,0.01,0.051
0.402,0.0,5.076,0.01,0.051
0.41,0.0,5.076,0.0,0.0
0.417,0.0,5.072,0.011,0.056
0.426,0.0,5.072,0.01,0.051
0.434,0.0,5.076,0.01,0.051
0.483,0.0,0.1,0.0,0.0
0.491,0.0,0.096,0.0,0.0
0.499,0.0,0.1,0.0,0.0
0.507,0.0,0.1,0.0,0.0
0.515,0.0,0.096,0.0,0.0
0.523,0.0,0.1,0.0,0.0
0.532,0.0,0.1,0.0,0.0
0.539,0.0,0.1,0.0,0.0
0.547,0.0,0.096,0.0,0.0
0.555,0.0,0.1,0.0,0.0
0.563,0.0,0.1,0.0,0.0
0.571,0.0,0.104,0.0,0.0
0.579,0.0,0.1,0.0,0.0
0.587,0.0,0.096,0.0,0.0
0.595,0.0,0.104,0.0,0.0
0.603,0.0,0.1,0.0,0.0
0.611,0.0,0.1,0.0,0.0
0.619,0.0,0.1,0.0,0.0
0.628,0.0,0.1,0.0,0.0
0.635,0.0,0.1,0.0,0.0
0.643,0.0,0.1,0.0,0.0
0.651,0.0,0.096,0.0,0.0
0.66,0.0,0.096,0.0,0.0
0.667,0.0,0.1,0.0,0.0
0.675,0.0,0.1,0.0,0.0
0.683,0.0,0.096,0.0,0.0
0.691,0.0,0.1,0.0,0.0
0.699,0.0,0.1,0.0,0.0
0.707,0.0,0.1,0.0,0.0
0.715,0.0,0.1,0.0,0.0
0.723,0.0,0.1,0.0,0.0
0.731,0.0,0.096,0.0,0.0
0.739,0.0,0.1,0.0,0.0
0.747,0.0,0.1,0.0,0.0
0.755,0.0,0.1,0.0,0.0
0.763,0.0,0.104,0.0,0.0
0.771,0.0,0.1,0.0,0.0
0.779,0.0,0.1,0.0,0.0
0.787,0.0,0.1,0.0,0.0
0.795,0.0,0.1,0.0,0.0
0.802,0.0,0.1,0.0,0.0
0.811,0.0,0.1,0.0,0.0
0.819,0.0,0.1,0.0,0.0
0.827,0.0,0.1,0.0,0.0
0.834,0.0,0.1,0.0,0.0
0.842,0.0,0.1,0.0,0.0
0.851,0.0,0.096,0.0,0.0
0.858,0.0,0.104,0.0,0.0
0.866,0.0,0.1,0.0,0.0
0.875,0.0,5.072,0.014,0.071
0.883,0.0,5.076,0.01,0.051
0.89,0.0,5.076,0.01,0.051
0.898,0.0,5.076,0.0,0.0
0.906,0.0,5.072,0.01,0.051
0.915,0.0,5.072,0.0,0.0
0.922,-16.0,5.076,0.0,0.0
0.93,-13.0,5.076,0.01,0.051
0.988,-9.0,5.044,1.024,5.165
0.998,-6.0,5.04,1.022,5.151
1.009,-2.0,5.04,1.024,5.161
1.021,0.0,5.04,1.024,5.161
1.031,4.0,5.04,1.022,5.151
1.04,7.0,5.072,0.017,0.086
1.048,10.0,5.076,0.018,0.091
1.056,14.0,5.076,0.018,0.091
1.064,17.0,5.076,0.016,0.081
1.072,20.0,5.072,0.019,0.096
1.08,23.0,5.072,0.017,0.086
1.088,27.0,5.076,0.016,0.081
1.096,30.0,5.076,0.018,0.091
1.104,33.0,9.104,0.034,0.31
1.112,39.0,9.104,0.035,0.319
1.12,42.0,9.1,0.032,0.291
1.179,45.0,9.104,0.032,0.291
1.186,49.0,9.1,0.034,0.309
1.194,52.0,9.104,0.034,0.31
1.202,55.0,9.104,0.033,0.3
1.211,58.0,9.104,0.032,0.291
1.218,60.0,9.104,0.031,0.282
1.226,63.0,9.104,0.032,0.291
1.234,66.0,9.104,0.032,0.291
1.243,68.0,9.104,0.031,0.282
1.25,70.0,9.104,0.033,0.3
1.258,73.0,9.104,0.032,0.291
1.266,75.0,9.1,0.034,0.309
1.275,77.0,9.1,0.031,0.282
1.282,79.0,9.1,0.531,4.832
1.29,81.0,9.076,0.981,8.904
1.299,82.0,9.072,0.98,8.891
1.307,84.0,9.076,0.981,8.904
1.314,85.0,9.076,0.981,8.904
1.322,88.0,9.076,0.981,8.904
1.331,92.0,9.076,0.98,8.894
1.339,96.0,9.076,0.98,8.894
1.347,101.0,9.076,0.958,8.695
1.354,105.0,9.076,0.957,8.686
1.363,109.0,9.076,0.958,8.695
1.371,113.0,9.076,0.958,8.695
1.379,117.0,9.076,0.96,8.713
1.387,121.0,9.076,0.957,8.686
1.395,125.0,9.076,0.959,8.704
1.404,126.0,9.076,0.958,8.695
1.411,126.0,9.076,0.957,8.686
1.419,127.0,9.076,0.958,8.695
1.427,127.0,9.076,0.957,8.686
1.436,128.0,9.076,0.956,8.677
1.443,128.0,9.076,0.933,8.468
1.451,128.0,9.076,0.935,8.486
1.46,128.0,9.076,0.936,8.495
1.468,128.0,9.08,0.934,8.481
1.476,128.0,9.08,0.934,8.481
1.484,128.0,9.08,0.934,8.481
1.492,128.0,9.076,0.933,8.468
1.5,127.0,9.08,0.933,8.472
1.508,127.0,9.076,0.933,8.468
1.516,126.0,9.08,0.936,8.499
1.524,125.0,9.076,0.935,8.486
1.533,124.0,9.076,0.935,8.486
1.541,123.0,9.076,0.913,8.286
1.549,122.0,9.08,0.913,8.29
1.558,121.0,9.076,0.912,8.277
1.566,120.0,9.08,0.913,8.29
1.574,118.0,9.076,0.913,8.286
1.582,117.0,9.08,0.914,8.299
1.591,115.0,9.076,0.913,8.286
1.6,113.0,9.076,0.913,8.286
1.607,112.0,9.076,0.912,8.277
1.616,110.0,9.076,0.912,8.277
1.625,108.0,9.08,0.912,8.281
1.633,105.0,9.08,0.892,8.099
1.641,103.0,9.076,0.892,8.096
1.649,101.0,9.08,0.891,8.09
1.658,98.0,9.08,0.891,8.09
1.666,96.0,9.076,0.892,8.096
1.674,93.0,9.076,0.891,8.087
1.682,90.0,9.08,0.891,8.09
1.692,87.0,9.08,0.89,8.081
1.699,84.0,9.08,0.891,8.09
1.707,81.0,9.076,0.893,8.105
1.716,78.0,9.076,0.89,8.078
1.725,74.0,9.08,0.892,8.099
1.732,71.0,9.076,0.87,7.896
1.742,67.0,9.08,0.868,7.881
1.753,64.0,9.076,0.87,7.896
1.765,60.0,9.08,0.869,7.891
1.775,56.0,9.076,0.869,7.887
1.787,52.0,9.08,0.869,7.891
1.798,48.0,9.08,0.869,7.891
1.809,44.0,9.076,0.869,7.887
1.82,39.0,9.076,0.869,7.887
1.832,38.0,9.076,0.845,7.669
1.842,36.0,9.08,0.849,7.709
1.853,35.0,9.08,0.847,7.691
1.863,33.0,9.08,0.848,7.7
1.873,32.0,9.08,0.851,7.727
1.884,30.0,9.08,0.848,7.7
1.895,28.0,9.08,0.848,7.7
1.904,27.0,9.08,0.847,7.691
1.915,25.0,9.076,0.848,7.696
1.925,23.0,9.08,0.826,7.5
1.935,21.0,9.08,0.829,7.527
1.946,19.0,9.084,0.827,7.512
1.957,17.0,9.076,0.827,7.506
1.967,15.0,9.08,0.826,7.5
1.977,13.0,9.08,0.825,7.491
1.988,11.0,9.08,0.827,7.509
1.997,9.0,9.08,0.826,7.5
2.008,6.0,9.084,0.828,7.522
2.019,4.0,9.08,0.804,7.3
2.028,2.0,9.08,0.803,7.291
2.039,0.0,9.076,0.802,7.279
2.05,0.0,9.08,0.803,7.291
2.059,0.0,9.08,0.803,7.291
2.069,0.0,9.08,0.804,7.3
2.08,0.0,9.08,0.805,7.309
2.09,0.0,9.08,0.804,7.3
2.1,0.0,9.08,0.807,7.328
2.111,0.0,9.08,0.806,7.318
2.121,0.0,9.08,0.785,7.128
2.131,0.0,9.08,0.785,7.128
2.141,0.0,9.076,0.785,7.125
2.152,0.0,9.08,0.784,7.119
2.162,0.0,9.084,0.783,7.113
2.172,0.0,9.076,0.783,7.107
2.183,0.0,9.084,0.783,7.113
2.193,0.0,9.084,0.783,7.113
2.203,0.0,9.08,0.784,7.119
2.215,0.0,9.08,0.783,7.11
2.224,0.0,9.08,0.784,7.119
2.235,0.0,9.084,0.782,7.104
2.245,0.0,9.084,0.782,7.104
2.255,0.0,9.08,0.784,7.119
2.265,0.0,9.08,0.783,7.11
2.277,0.0,9.084,0.785,7.131
2.286,0.0,9.084,0.784,7.122
2.296,0.0,9.084,0.785,7.131
2.307,0.0,9.08,0.784,7.119
2.317,0.0,9.084,0.785,7.131
2.327,0.0,9.08,0.786,7.137
2.338,0.0,9.084,0.785,7.131
2.348,0.0,9.076,0.784,7.116
2.358,0.0,9.08,0.786,7.137
2.369,0.0,9.088,0.784,7.125
2.379,0.0,9.084,0.786,7.14
2.389,0.0,9.076,0.786,7.134
2.4,0.0,9.084,0.781,7.095
2.41,0.0,9.084,0.785,7.131
2.42,0.0,9.08,0.786,7.137
2.43,0.0,9.076,0.784,7.116
2.441,0.0,9.084,0.785,7.131
2.451,0.0,9.084,0.785,7.131
2.462,0.0,9.08,0.785,7.128
2.472,0.0,9.08,0.787,7.146
2.482,0.0,9.084,0.786,7.14
2.493,0.0,9.08,0.786,7.137
2.504,0.0,9.076,0.784,7.116
2.513,0.0,9.084,0.785,7.131
2.524,0.0,9.08,0.786,7.137
2.535,0.0,9.08,0.785,7.128
2.545,0.0,9.076,0.785,7.125
2.556,0.0,9.084,0.788,7.158
2.568,0.0,9.08,0.784,7.119
2.579,0.0,9.084,0.783,7.113
2.59,0.0,9.08,0.785,7.128
2.602,0.0,9.08,0.807,7.328
2.612,0.0,9.084,0.807,7.331
2.623,0.0,9.076,0.807,7.324
2.635,0.0,9.08,0.804,7.3
2.646,0.0,9.08,0.807,7.328
2.656,0.0,9.08,0.806,7.318
2.667,0.0,9.08,0.807,7.328
2.677,0.0,9.084,0.807,7.331
2.687,0.0,9.08,0.805,7.309
2.698,0.0,9.084,0.809,7.349
2.707,0.0,9.08,0.807,7.328
2.717,0.0,9.08,0.806,7.318
2.728,0.0,9.08,0.805,7.309
2.739,0.0,9.08,0.806,7.318
2.749,0.0,9.08,0.805,7.309
2.759,0.0,9.08,0.806,7.318
2.77,0.0,9.08,0.804,7.3
2.78,0.0,9.08,0.805,7.309
2.79,0.0,9.08,0.804,7.3
2.801,0.0,9.08,0.805,7.309
2.811,0.0,9.08,0.805,7.309
2.821,0.0,9.08,0.804,7.3
2.832,0.0,9.08,0.804,7.3
2.842,0.0,9.08,0.803,7.291
2.852,0.0,9.08,0.804,7.3
2.863,0.0,9.08,0.805,7.309
2.873,0.0,9.084,0.806,7.322
2.882,0.0,9.076,0.804,7.297
2.893,0.0,9.08,0.827,7.509
2.904,0.0,9.08,0.826,7.5
2.913,0.0,9.08,0.827,7.509
2.924,0.0,9.08,0.825,7.491
2.934,0.0,9.08,0.828,7.518
2.944,0.0,9.08,0.827,7.509
2.956,0.0,9.08,0.827,7.509
2.967,0.0,9.08,0.827,7.509
2.978,0.0,9.08,0.826,7.5
2.989,0.0,9.08,0.826,7.5
3.001,0.0,9.08,0.826,7.5
3.011,0.0,9.08,0.826,7.5
3.023,0.0,9.084,0.827,7.512
3.034,0.0,9.08,0.825,7.491
3.044,0.0,9.076,0.826,7.497
3.055,0.0,9.08,0.826,7.5
3.065,0.0,9.08,0.827,7.509
3.074,0.0,9.076,0.827,7.506
3.084,0.0,9.08,0.829,7.527
3.094,0.0,9.08,0.826,7.5
3.104,0.0,9.08,0.826,7.5
3.114,0.0,9.076,0.827,7.506
3.124,0.0,9.076,0.825,7.488
3.134,0.0,9.08,0.826,7.5
3.144,0.0,9.08,0.825,7.491
3.152,0.0,9.08,0.824,7.482
3.161,0.0,9.084,0.827,7.512
3.168,0.0,9.08,0.826,7.5
3.176,0.0,9.076,0.848,7.696
3.185,0.0,9.08,0.847,7.691
3.193,0.0,9.08,0.847,7.691
3.2,0.0,9.08,0.847,7.691
3.208,0.0,9.08,0.848,7.7
3.217,0.0,9.08,0.848,7.7
3.225,0.0,9.08,0.848,7.7
3.232,0.0,9.08,0.847,7.691
3.24,0.0,9.08,0.847,7.691
3.248,0.0,9.08,0.846,7.682
3.256,0.0,9.08,0.847,7.691
3.264,0.0,9.08,0.847,7.691
3.272,0.0,9.08,0.847,7.691
3.28,0.0,9.08,0.848,7.7
3.289,0.0,9.08,0.847,7.691
3.296,0.0,9.076,0.847,7.687
3.304,0.0,9.08,0.847,7.691
3.313,0.0,9.076,0.847,7.687
3.321,0.0,9.076,0.847,7.687
3.328,0.0,9.08,0.848,7.7
3.336,0.0,9.08,0.846,7.682
3.345,0.0,9.08,0.847,7.691
3.353,0.0,9.08,0.846,7.682
3.36,0.0,9.08,0.848,7.7
3.368,0.0,9.08,0.847,7.691
3.377,0.0,9.076,0.846,7.678
3.385,0.0,9.08,0.849,7.709
3.392,0.0,9.08,0.847,7.691
3.4,0.0,9.08,0.847,7.691
3.409,0.0,9.08,0.847,7.691
3.417,0.0,9.08,0.847,7.691
3.424,0.0,9.08,0.847,7.691
3.433,0.0,9.084,0.847,7.694
3.442,0.0,9.08,0.848,7.7
3.449,0.0,9.08,0.848,7.7
3.457,0.0,9.08,0.849,7.709
3.465,0.0,9.076,0.873,7.923
3.474,0.0,9.08,0.872,7.918
3.482,0.0,9.076,0.872,7.914
3.489,0.0,9.08,0.871,7.909
3.498,0.0,9.076,0.87,7.896
3.507,0.0,9.08,0.872,7.918
3.515,0.0,9.08,0.869,7.891
3.522,0.0,9.076,0.87,7.896
3.531,0.0,9.076,0.873,7.923
3.54,0.0,9.08,0.871,7.909
3.548,0.0,9.08,0.871,7.909
3.556,0.0,9.076,0.874,7.932
3.564,0.0,9.08,0.868,7.881
3.573,0.0,9.076,0.872,7.914
3.581,0.0,9.076,0.872,7.914
3.589,0.0,9.08,0.869,7.891
3.598,0.0,9.08,0.873,7.927
3.606,0.0,9.08,0.869,7.891
3.614,0.0,9.08,0.869,7.891
3.622,0.0,9.08,0.873,7.927
3.631,0.0,9.08,0.87,7.9
3.639,0.0,9.08,0.872,7.918
3.647,0.0,9.076,0.874,7.932
3.655,0.0,9.08,0.871,7.909
3.663,0.0,9.08,0.872,7.918
3.672,0.0,9.08,0.871,7.909
3.68,0.0,9.076,0.871,7.905
3.688,0.0,9.08,0.873,7.927
3.696,0.0,9.08,0.872,7.918
3.705,0.0,9.076,0.872,7.914
3.714,0.0,9.076,0.871,7.905
3.721,0.0,9.08,0.872,7.918
3.729,0.0,9.08,0.869,7.891
3.738,0.0,9.08,0.869,7.891
3.747,0.0,9.076,0.871,7.905
3.755,0.0,9.08,0.892,8.099
3.763,0.0,9.08,0.894,8.118
